ID,Name,Latitude,Longitude,Public,Total docks,roundtrip_ratio,trips,log_trips
C32051,Farragut Rd at E. 6th St,42.3334,-71.02495,Yes,23,0.2214878357474335,56888,4.755020665632211
C32041,Fields Corner T Stop,42.29963349,-71.06068976,Yes,15,0.1371787455582183,12101,4.08282126093933
B32064,Flat 9 at Whittier,42.33420351,-71.08767617,Yes,15,0.0481768685035472,6061,3.7825442840100094
E32010,Forest Hills,42.300923,-71.114249,Yes,40,0.1051485759776445,61551,4.789235113172355
B32062,Forsyth St at Huntington Ave,42.339202,-71.090511,Yes,15,0.0293518744770494,135051,5.130497804316687
C32037,Four Corners - 157 Washington St,42.30412793,-71.07929528,Yes,11,0.0924190800681431,4696,3.671728088239558
C32111,Four Corners/Geneva T Stop,42.30321535,-71.07820988,Yes,15,0.0509554140127388,157,2.1958996524092336
C32027,Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225,Yes,15,0.2301487721813945,5579,3.746556361410369
C32030,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,Yes,14,0.3070751898950243,11717,4.06881642992222
C32040,Gallivan Blvd at Adams St,42.28297568,-71.05466698,Yes,15,0.4158212698050837,8773,3.943148129358563
C32090,Geiger Gibson Community Health Center,42.31886468,-71.04536798,Yes,19,0.2539554051070719,27178,4.434217494305147
A32049,Gove St at Orleans St,42.37057753,-71.0355854,Yes,19,0.2708803611738149,10632,4.026614967934676
B32032,Government Center - Cambridge St at Court St,42.3598254,-71.05979576,Yes,35,0.0251807492879573,136930,5.136498608156699
E32005,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,Yes,23,0.0585376457618433,64403,4.808906097998011
B32028,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,Yes,15,0.0986259149865159,7787,3.891370174696148
D32043,Harrison Ave at Bennet St,42.3494261,-71.0620996,Yes,17,0.0206540918354785,73109,4.863970843575402
C32093,Harrison Ave at E. Dedham St,42.339194,-71.06975,Yes,19,0.0252465483234714,48165,4.682731564622184
C32057,Harrison Ave at Mullins Way,42.34521562,-71.06384031,Yes,19,0.0258678686759956,118912,5.07522568364151
D32035,Harvard Ave at Brainerd Rd,42.34953017,-71.13022771,Yes,15,0.0280617501859135,111611,5.047706999295816
A32052,Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242,Yes,15,0.028420712670901,74312,4.871058949870636
B32003,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.33741748,-71.10286117,Yes,25,0.0109274391388887,165089,5.217718136869984
A32040,Honan Library,42.3602737,-71.12852452,Yes,15,0.0516696852220509,66809,4.824834971263772
D32060,Hood Park,42.38004535,-71.07304573,Yes,23,0.032053985660059,7113,3.8520528086978505
B32033,Huntington Ave at Mass Art,42.33658555,-71.09886996,Yes,15,0.0482272765281378,95672,4.9807848528785295
C32089,Hyde Park Ave at Walk Hill St,42.29606705,-71.116012,Yes,15,0.0955041234370843,7518,3.8761023213777936
E32013,Hyde Park Library,42.2568376,-71.122509,Yes,15,0.2166666666666666,480,2.681241237375587
