businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
Nicole's Jamaican Plain,,367 Centre,Jamaica Plain,MA,2130,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:04+00,6179710100,156016,42.32247164,-71.10857886
NICOLE'S PIZZA,,639 Tremont,Roxbury,MA,2118,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:27+00,6172669190,137830,42.34232954,-71.07514052
Night Shift Brewing,,160 Washington,Boston,MA,2114,Active,FS,Eating & Drinking,2018-04-25 14:21:00.393+00,6172944233,146266,42.36728278,-71.05931922
Nino's Pizza,,79 Charles,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:12+00,5233974,29192,42.35837954,-71.07042047
NIXON & PEABODY,,53 State,Boston,MA,2109,Active,FS,Eating & Drinking,2018-07-10 15:58:52.017+00,6173456030,157026,42.35875038,-71.05620002
No. 9 Park LLC,,9 Park,Boston,MA,2108,Active,FS,Eating & Drinking,2006-12-07 18:34:59+00,7817299348,107195,42.35761953,-71.06279046
Noodle Barn,,707 Centre,Jamaica Plain,MA,2130,Active,FS,Eating & Drinking,2014-09-17 17:03:33.457+00,6175222299,155915,42.31143345,-71.11466241
NOODLE STREET RESTAURANT,,627 Commonwealth,Boston,MA,2215,Active,FS,Eating & Drinking,2006-12-07 18:36:01+00,6175363100,41174,42.34977303,-71.1016106
Noodles King,,350 Longwood,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,2017-12-04 19:17:40.3+00,,156578,42.33817959,-71.1064806
Noon Mediterranean-Kitchen 115,,94 Shirley,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,2023-10-02 18:07:19.453+00,6174820198,127222,42.32448422,-71.07021699
North East of the Boarder Taqueria,,100 High,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,2019-09-27 13:54:42.787+00,8555617822,342934,42.35446496,-71.0552991
North End Creamery,,121 Salem,Boston,MA,2113,Active,FT,Eating & Drinking w/ Take Out,2022-02-07 15:39:31.56+00,6177802369,121723,42.36455952,-71.05537043
NORTH STREET GRILLE & CAFE,,229 North,Boston,MA,2109,Active,FS,Eating & Drinking,2006-12-07 18:34:47+00,6175239495,103562,42.36338951,-71.05252042
NORTHEASTERN UNIV. RYDER HALL,,11 Leon,Boston,MA,2115,Active,FS,Eating & Drinking,2006-12-07 18:34:41+00,6173732530,340856,42.33662054,-71.09091088
Northeastern Univ./International Village,,1155 Tremont,ROXBURY,MA,2120,Active,FS,Eating & Drinking,2008-12-04 15:45:39+00,6173732530,,42.33518956,-71.08906057
Northeastern Univ/Curry Center,,360 HUNTINGTON ,BOSTON,MA,2115,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:04+00,6173732530,,42.34004747,-71.08889215
NORTHEASTERN UNIV-716 COLUMBUS,,716 COLUMBUS ,BOSTON,MA,2120,Active,FS,Eating & Drinking,2006-12-07 18:34:41+00,6173733130,,42.33770151,-71.08514212
Northeastern University Faculty Club,,815 Columbus,Boston,MA,2118,Active,FS,Eating & Drinking,2022-05-26 15:27:15.24+00,6173732530,439242,42.33696273,-71.08740206
Northeastern University Faculty Club,,716 COLUMBUS ,BOSTON,MA,2120,Active,FS,Eating & Drinking,2007-11-26 20:28:09+00,6173733130,,42.33770151,-71.08514212
Northeastern University/Cafe Crossing,,1175 Tremont,Boston,MA,2120,Active,FS,Eating & Drinking,2009-05-14 14:52:03+00,6173732530,160935,42.33498782,-71.08896453
Northeastern University-Snell Library,,376 Huntington,Boston,MA,2115,Active,FS,Eating & Drinking,2006-12-07 18:35:27+00,6173733130,157631,42.33843376,-71.08796064
Nos Casa Cafe,,475 Dudley,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,2010-12-02 20:21:34+00,6176067060,49758,42.32324954,-71.07367856
Not Your Average Joe's,,200 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,2019-07-11 16:06:47.05+00,,341353,42.36267681,-71.01863533
