X,Y,id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,city,neighborhood,park,x_longitude,y_latitude,ObjectId
-71.032727725,42.372149958,43711,"Maple, Red 'October Glory'",Acer rubrum 'October Glory',1,6-12in,9,--,Boston,East Boston,East Boston Memorial Park,-71.03273,42.37215,309
-71.032772862,42.372225653,43712,"Oak, Black",Quercus velutina,1,12-18in,12,--,Boston,East Boston,East Boston Memorial Park,-71.03278,42.37223,310
-71.032589759,42.372216751,43713,Horsechestnut,Aesculus hippocastanum,1,6-12in,9,--,Boston,East Boston,East Boston Memorial Park,-71.03259,42.37222,311
-71.069254544,42.32683273,43714,"Maple, Red",Acer rubrum,1,12-18in,15,--,Boston,Roxbury,Clifford Playground,-71.06925,42.32683,312
-71.069337692,42.326797036,43715,"Maple, Red",Acer rubrum,1,12-18in,17,--,Boston,Roxbury,Clifford Playground,-71.06934,42.3268,313
-71.069427546,42.326765308,43716,"Maple, Sugar",Acer saccharum,1,12-18in,17,--,Boston,Roxbury,Clifford Playground,-71.06943,42.32677,314
-71.069540199,42.326732589,43717,"Maple, Sugar",Acer saccharum,1,12-18in,14,--,Boston,Roxbury,Clifford Playground,-71.06954,42.32673,315
-71.069631394,42.326688963,43718,"Maple, Sugar",Acer saccharum,1,12-18in,15,--,Boston,Roxbury,Clifford Playground,-71.06963,42.32669,316
-71.028918437,42.381508434,43719,Horsechestnut,Aesculus hippocastanum,1,3-6in,3.5,--,Boston,East Boston,American Legion Playground,-71.02892,42.38151,317
-71.028768233,42.381453949,43720,"Linden, Littleleaf",Tilia cordata,1,3-6in,5,--,Boston,East Boston,American Legion Playground,-71.02877,42.38145,318
-71.028823218,42.381559947,43721,Horsechestnut,Aesculus hippocastanum,1,3-6in,4.5,--,Boston,East Boston,American Legion Playground,-71.02882,42.38156,319
-71.028804443,42.381645141,43722,"Pine, Austrian",Pinus nigra,1,6-12in,10,--,Boston,East Boston,American Legion Playground,-71.0288,42.38165,320
-71.028824559,42.381712505,43723,"Oak, Pin",Quercus palustris,1,18-24in,19.2,--,Boston,East Boston,American Legion Playground,-71.02882,42.38171,321
-71.028846017,42.381777685,43724,"Oak, Pin",Quercus palustris,1,18-24in,18.5,--,Boston,East Boston,American Legion Playground,-71.02885,42.38178,322
-71.028851381,42.381856936,43725,"Oak, Pin",Quercus palustris,1,18-24in,19,--,Boston,East Boston,American Legion Playground,-71.02885,42.38186,323
-71.028856746,42.382031287,43726,Elm,Ulmus species,1,6-12in,8.5,--,Boston,East Boston,American Legion Playground,-71.02885,42.38203,324
-71.028863451,42.38211549,43727,Elm,Ulmus species,1,6-12in,7.8,--,Boston,East Boston,American Legion Playground,-71.02886,42.38211,325
-71.028872839,42.382190778,43728,Elm,Ulmus species,1,6-12in,9.1,--,Boston,East Boston,American Legion Playground,-71.02887,42.38219,326
-71.028883568,42.382273,43729,Elm,Ulmus species,1,6-12in,10.4,--,Boston,East Boston,American Legion Playground,-71.02888,42.38227,327
-71.029672137,42.382348287,43730,Cherry/Plum,Prunus species,1,6-12in,8.5,--,Boston,East Boston,American Legion Playground,-71.02967,42.38235,328
-71.029672137,42.382396039,43731,"Maple, Red",Acer rubrum,1,3-6in,5.9,--,Boston,East Boston,American Legion Playground,-71.02967,42.3824,329
-71.02967482,42.382441607,43732,"Maple, Red",Acer rubrum,1,6-12in,6.3,--,Boston,East Boston,American Legion Playground,-71.02968,42.38244,330
-71.029677502,42.382491138,43733,"Maple, Red",Acer rubrum,1,3-6in,5.8,--,Boston,East Boston,American Legion Playground,-71.02968,42.38249,331
-71.029985956,42.382410898,43734,"Maple, Norway",Acer platanoides,1,24-30in,26,--,Boston,East Boston,American Legion Playground,-71.02998,42.38241,332
-71.030093244,42.382360376,43735,"Maple, Sycamore",Acer pseudoplatanus,1,18-24in,21,--,Boston,East Boston,American Legion Playground,-71.03009,42.38236,333
