,Number,Name,Latitude,Longitude,Public,Total docks,roundtrip_ratio,trips,log_trips
45,D32039,Charlestown Navy Yard,42.37412455,-71.054812,Yes,23,0.044432593044074514,131255,5.11811585631456
46,D32015,Chinatown Gate Plaza,42.351356,-71.059367,Yes,19,0.027531660725648097,146159,5.164825562970866
47,D32019,Chinatown T Stop,42.352409,-71.062679,Yes,19,0.03599698196035393,218685,5.339818995014586
48,B32005,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,Yes,19,0.04278405723258014,384676,5.585095091446646
49,C32099,Circuit Drive at American Legion Hwy,42.29704126,-71.09171927,Yes,19,0.4369274136715997,2838,3.4530123911214554
50,C32104,Cleary Sq,42.2556,-71.12444,Yes,16,0.30802139037433157,935,2.9708116108725178
51,B32035,Cleveland Circle,42.33554308,-71.1506152,Yes,15,0.14473919828093423,39091,4.592076780407354
52,D32057,Clinton St at North St,42.36070284,-71.05524927,Yes,18,0.050040303079155246,31015,4.491571785500986
53,C32055,Codman Square Library,42.2873611,-71.071111,Yes,17,0.1106107007746352,5551,3.7443712273318606
54,B32006,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512,-71.10061884,Yes,14,0.042323083023901364,110956,5.045150791889668
55,B32029,Columbia Rd at Ceylon St,42.309572,-71.0729,Yes,15,0.09603211363285472,6477,3.811373897053893
56,C32052,Columbia Rd at Tierney Community Center,42.33023071,-71.05060093,Yes,19,0.10814629420313257,49544,4.6949910670015145
57,C32077,Columbus Ave at W. Canton St,42.34474225,-71.07648162,Yes,19,0.036371486728211035,97274,4.987996774847518
58,A32002,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,Yes,15,0.025383146947274216,277113,5.4426569000003235
59,D32033,Commonwealth Ave at Chiswick Rd,42.34024645,-71.15168806,Yes,19,0.0807051255273821,23939,4.379106004735696
60,A32017,Commonwealth Ave at Griggs St,42.34922469,-71.13275303,Yes,15,0.03903261219103803,90181,4.955115046806369
61,D32034,Commonwealth Ave at Kelton St,42.34835863,-71.13997217,Yes,15,0.0312344693604012,66401,4.8221746198983135
62,D32009,Congress St at Boston City Hall,42.36041775,-71.05752244,Yes,23,0.029699791298763847,74748,4.873599576921766
63,C32032,Congress St at Northern Ave,42.3481,-71.03764,Yes,15,0.054337800977256226,101918,5.008250892645453
64,D32005,Copley Square - Dartmouth St at Boylston St,42.34992828,-71.07739207,Yes,28,0.029001480099897912,283089,5.451922994295819
65,D32010,Cross St at Hanover St,42.362811,-71.056067,Yes,19,0.0320058483603704,287260,5.458275156139176
66,Z32999,Cummins Highway at Blue Hill Ave T Stop,42.26998847,-71.09746183,Yes,14,0.27586206896551724,29,1.462397997898956
67,E32001,Curtis Hall - South St at Centre St,42.309054,-71.11543,Yes,15,0.06695851159088648,40204,4.6042692643159775
68,D32045,Dartmouth St at Newbury St,42.35096144,-71.07782811,Yes,19,0.03665037920370809,139371,5.144172416156496
69,A32051,Day Sq,42.379295,-71.027733,Yes,16,0.09313292071912761,6786,3.831613855309099
70,B32037,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,Yes,19,0.04638811838387789,194317,5.2885107969107885
71,C32009,Dorchester Ave at Gillette Park,42.34404051,-71.05737627,Yes,15,0.035453449620648086,56412,4.751371497235877
72,C32066,Dorchester Ave at King St,42.291718,-71.062571,Yes,15,0.1054706752094628,2029,3.307282047033346
73,B32017,Dudley Square - Bolling Building,42.32984299,-71.08386572,Yes,0,0.023878256530881357,28059,4.448072189065087
74,C32015,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,Yes,15,0.054108062408731075,13011,4.114310676868424
75,A32031,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,Yes,16,0.06631246754284345,25033,4.398512899363422
76,A32022,Edwards Playground - Main St at Eden St,42.378965,-71.068607,Yes,19,0.042289119490393504,48665,4.687216727711397
77,E32004,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,Yes,15,0.04741446244629639,19319,4.285984642487249
78,A32000,Fan Pier,42.35339051,-71.0445714,Yes,15,0.05327156919513607,100166,5.000720331130396
79,C32051,Farragut Rd at E. 6th St,42.3334,-71.02495,Yes,23,0.22148783574743355,56888,4.755020665632211
80,C32041,Fields Corner T Stop,42.29963349,-71.06068976,Yes,15,0.13717874555821832,12101,4.08282126093933
81,B32064,Flat 9 at Whittier,42.33420351,-71.08767617,Yes,15,0.04817686850354727,6061,3.7825442840100103
82,E32010,Forest Hills,42.300923,-71.114249,Yes,40,0.10514857597764456,61551,4.789235113172355
83,B32062,Forsyth St at Huntington Ave,42.339202,-71.090511,Yes,15,0.02935187447704941,135051,5.130497804316687
84,C32037,Four Corners - 157 Washington St,42.30412793,-71.07929528,Yes,11,0.0924190800681431,4696,3.671728088239558
85,C32111,Four Corners/Geneva T Stop,42.30321535,-71.07820988,Yes,15,0.050955414012738856,157,2.1958996524092336
86,C32027,Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225,Yes,15,0.2301487721813945,5579,3.746556361410369
87,C32030,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,Yes,14,0.3070751898950243,11717,4.06881642992222
88,C32040,Gallivan Blvd at Adams St,42.28297568,-71.05466698,Yes,15,0.41582126980508377,8773,3.943148129358563
89,C32090,Geiger Gibson Community Health Center,42.31886468,-71.04536798,Yes,19,0.2539554051070719,27178,4.434217494305147
90,A32049,Gove St at Orleans St,42.37057753,-71.0355854,Yes,19,0.2708803611738149,10632,4.026614967934676
91,B32032,Government Center - Cambridge St at Court St,42.3598254,-71.05979576,Yes,35,0.02518074928795735,136930,5.136498608156699
92,E32005,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,Yes,23,0.05853764576184339,64403,4.808906097998011
93,B32028,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,Yes,15,0.09862591498651599,7787,3.891370174696148
94,D32043,Harrison Ave at Bennet St,42.3494261,-71.0620996,Yes,17,0.020654091835478533,73109,4.863970843575402
95,C32093,Harrison Ave at E. Dedham St,42.339194,-71.06975,Yes,19,0.0252465483234714,48165,4.682731564622184
96,C32057,Harrison Ave at Mullins Way,42.34521562,-71.06384031,Yes,19,0.025867868675995696,118912,5.07522568364151
97,D32035,Harvard Ave at Brainerd Rd,42.34953017,-71.13022771,Yes,15,0.028061750185913576,111611,5.047706999295816
98,A32052,Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242,Yes,15,0.028420712670901065,74312,4.871058949870636
99,B32003,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.33741748,-71.10286117,Yes,25,0.01092743913888872,165089,5.217718136869984
100,A32040,Honan Library,42.3602737,-71.12852452,Yes,15,0.05166968522205092,66809,4.824834971263772
101,D32060,Hood Park,42.38004535,-71.07304573,Yes,23,0.03205398566005905,7113,3.8520528086978505
102,B32033,Huntington Ave at Mass Art,42.33658555,-71.09886996,Yes,15,0.048227276528137804,95672,4.9807848528785295
103,C32089,Hyde Park Ave at Walk Hill St,42.29606705,-71.116012,Yes,15,0.09550412343708434,7518,3.8761023213777936
104,E32013,Hyde Park Library,42.2568376,-71.122509,Yes,15,0.21666666666666667,480,2.681241237375587
105,E32003,Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161,Yes,15,0.040348391835878065,76236,4.882160101382887
106,C32020,ID Building East,42.344827,-71.028664,Yes,17,0.04828189337900375,54886,4.739461581278475
107,C32021,ID Building West,42.344796,-71.031614,Yes,19,0.034505123881177845,77090,4.886998045671099
108,C32025,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,Yes,25,0.01513882067431312,103839,5.016360497093302
109,A32011,Innovation Lab - 125 Western Ave at Batten Way,42.36371276,-71.12459779,Yes,19,0.018777307521190067,87659,4.9427965119834765
110,E32006,Jackson Square T Stop,42.32293117,-71.10014141,Yes,18,0.039818554088754655,88401,4.946457177818791
111,D32052,Jamaica St at South St,42.30604563,-71.11570891,Yes,19,0.10545005403736298,12954,4.112403892717874
112,C32013,JFK/UMass T Stop,42.32033974,-71.05118036,Yes,31,0.10973897041018936,41298,4.615929019937377
113,B32010,Kenmore Square,42.348706,-71.097009,Yes,26,0.03457140324439323,236901,5.374566893958583
114,B32015,Landmark Center - Brookline Ave at Park Dr,42.34369056,-71.10235287,Yes,15,0.02695657427947485,231706,5.364937279940831
115,B32058,Lansdowne T Stop,42.34734473,-71.10016808,Yes,27,0.015824934888461102,70648,4.8490998717577085
116,D32061,Lenox St at Kendall St,42.33759485,-71.08255059,Yes,17,0.030362564743704232,5599,3.7481104674949837
117,A32057,Lewis Mall Wharf,42.36567871,-71.04030132,Yes,21,0.16435826408125578,2166,3.3356584522893016
118,D32006,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Yes,19,0.05555579781875902,229319,5.360440039262463
119,A32004,Longwood Ave at Binney St,42.338629,-71.1065,Yes,15,0.013029013180062976,258193,5.411944463714355
120,D32020,Main St at Austin St,42.375603,-71.064608,Yes,11,0.024575962064563195,87728,4.943138228539405
121,D32036,Main St at Baldwin St,42.380857,-71.070629,Yes,19,0.029933001945104818,37016,4.56838948649184
122,D32038,Main St at Thompson Sq,42.37487847,-71.06383499,Yes,15,0.02194654563792234,49575,4.695262722877341
123,E32012,Martha Eliot Health Center,42.324173,-71.10196,Yes,16,0.03567379638727231,13231,4.121592669438407
124,C32063,Mass Ave T Station,42.34135616,-71.08336953,Yes,14,0.023399541337894042,102908,5.0124491378411955
125,C32004,Massachusetts Ave at Columbus Ave,42.340835,-71.0816197,Yes,13,0.02554351725622444,83622,4.92232055042531
126,C32050,Mattapan Library,42.2773889,-71.09325,Yes,15,0.20998455995882656,1943,3.2884728005997825
127,C32045,Mattapan T Stop,42.267902,-71.093641,Yes,15,0.4681972149040271,5314,3.725421550074259
