SPACEID,Name,Avg. Lat,Avg. Long,num_objs,obj1_id,obj2_id,obj3_id,obj4_id,obj5_id,obj6_id,obj7_id,obj8_id,obj9_id,obj10_id,obj11_id,obj12_id,obj13_id,obj14_id,obj15_id,obj16_id,obj17_id,obj18_id,obj19_id,obj20_id,obj1_dist,obj2_dist,obj3_dist,obj4_dist,obj5_dist,obj6_dist,obj7_dist,obj8_dist,obj9_dist,obj10_dist,obj11_dist,obj12_dist,obj13_dist,obj14_dist,obj15_dist,obj16_dist,obj17_dist,obj18_dist,obj19_dist,obj20_dist
459,Massport Harborwalk,42.36166025150004,-71.02710264099994,1,A32050,A32044,A32049,A32057,A32030,A32032,A32031,C32032,A32036,A32000,C32020,A32041,A32033,C32021,B32014,B32007,A32051,C32034,C32107,C32036,0.1064963068229231,0.5313440070127498,0.8695677249440328,1.009075134189066,1.055928193997803,1.0630077499582054,1.064587215263788,1.3577281389721374,1.4066944896382052,1.446955263203002,1.4647201784698498,1.4679630024199486,1.4753752891718175,1.49787913470215,1.51709222451352,1.5215501571392034,1.5525472255873896,1.613143201251047,1.6161912948418096,1.734140662027846
460,Nira Rock,42.32539883950005,-71.10972334899998,2,E32007,E32003,E32012,E32006,D32041,B32036,B32013,B32063,A32056,E32011,C32001,E32004,B32003,A32004,B32033,B32023,E32005,B32059,B32055,B32027,0.2094095264479202,0.34423002422321985,0.6024325522975214,0.7825115562960699,0.9733547602017554,0.9854364219750629,1.0699082745950452,1.0720709535678061,1.1852365451353486,1.235575864143758,1.318075378057018,1.3548970616320424,1.3932822393208235,1.4334416109768442,1.4807715402458625,1.531196444926653,1.5957939740546987,1.6233002254293394,1.6346021124214534,1.6886052080459917
461,Jefferson Playground,42.32618096900004,-71.10861569399995,2,E32007,E32003,E32012,E32006,B32036,B32063,B32013,D32041,A32056,C32001,E32011,B32003,A32004,E32004,B32033,B32023,B32059,B32055,B32021,B32006,0.19154818264868534,0.44512827779294545,0.5127965981699485,0.7021802750249296,0.8619218590556539,0.9342134511805366,0.9465186356792986,0.9939497274104814,1.090351131725394,1.1551922669557964,1.1733094046656354,1.2707897310736451,1.3222713475853392,1.3329734708763277,1.3461090714628872,1.4455486388447314,1.4606213190997763,1.4753485014183134,1.5606962074217072,1.6192500763188769
462,Arborway I,42.30744478350008,-71.11490624949997,3,E32010,D32052,E32001,D32040,C32089,E32005,C32048,E32003,D32041,C32099,C32102,C32027,C32094,E32007,C32105,E32004,C32043,C32030,C32047,E32012,0.04239621893804198,0.2829601588849352,0.35427948261605735,0.5486325641503674,0.5528927455085842,0.9974550832273891,1.0455539031815975,1.2131014100580286,1.326123349566012,1.330842375368796,1.5424022451826116,1.5523686446047247,1.673086446551672,1.7049552950073137,1.708963946329196,1.7543476145238488,1.7851610680587535,1.7990283530637896,1.85635672544076,1.8748110489079772
463,Amory Street Park,42.31961303300005,-71.09986459299995,4,E32011,E32006,E32004,D32041,E32012,B32027,B32023,E32003,C32102,E32005,C32027,E32007,C32001,B32055,B32022,B32063,D32040,B32059,B32036,B32013,0.2718167721511315,0.3596411764746488,0.4348948030536676,0.4597158647234489,0.527748828651625,0.7042044421413143,0.7177038572551419,0.8398573368860585,0.8412137105903215,1.1649333321937358,1.244793827024294,1.2585567938945752,1.326543971483111,1.336083314432359,1.4341942329334951,1.5140307530163588,1.5756863136240873,1.5848261692360333,1.626245824373569,1.6956485841443583
464,Puopolo Playground,42.36846590500005,-71.05440027899996,0,A32053,D32006,D32021,D32039,D32010,A32025,A32033,D32022,D32057,B32004,D32009,D32038,B32032,B32008,D32020,A32013,A32030,A32057,D32000,D32023,0.5060861258146154,0.5083957231365097,0.5290048772688883,0.5597796799154001,0.5857522976822692,0.780330000302406,0.7857818705432977,0.7868858165322589,0.800437362905606,0.8713756677750224,0.8759649595728319,0.9676230307330408,1.0032353480006564,1.0366750818045467,1.0688289037785788,1.0861081823931635,1.1173484072908968,1.121885280309787,1.1231657327873081,1.1269179471117663
465,Stony Brook Reservation II,42.26289563800003,-71.14552525049996,0,C32104,E32013,C32087,C32086,C32059,C32085,C32106,C32046,C32047,E32014,C32079,C32048,C32105,C32089,Z32999,E32010,C32045,C32044,C32050,C32094,1.362538124183846,1.492039412372923,1.5560158400563675,1.5840470271473264,1.619145844959155,1.7135676304850171,1.899526835260332,1.9613668868038885,2.051364075651948,2.211083541770974,2.25531340873828,2.8739357639364127,3.1091140518534894,3.43697582231937,3.700402491480712,3.950342110383192,3.971492474731755,4.055201957590098,4.124913352793735,4.348321781259837
466,A Street Park,42.343760348000046,-71.05286863949996,4,C32024,C32009,C32053,C32029,C32028,D32018,C32035,C32025,C32057,A32010,C32107,D32043,D32015,C32016,C32034,A32042,B32014,C32091,B32007,C32036,0.0014036859877843135,0.32685272547073657,0.3749430051932412,0.4846388385404753,0.6821939461998936,0.7043817873222936,0.7219782574758807,0.8449148929806237,0.8752147257305454,0.910419678738048,0.9297793955519947,0.9531917637811815,0.9551256655141646,0.9888701409076865,1.0000379275137927,1.0153939873192181,1.0212727947304807,1.0470148030070257,1.0542842356718933,1.069168703979905
467,Fort Point Channel Harborwalk,42.34791053900005,-71.05400301249998,6,C32009,C32024,C32053,A32010,C32036,C32034,C32035,A32026,A32042,C32025,C32107,D32018,C32057,B32007,D32043,D32015,A32000,D32008,C32029,C32028,0.18894145048391037,0.25594567925381695,0.31138813418567407,0.3969349654895134,0.43126005801953926,0.4997402169698247,0.5132197093641783,0.5145877101401509,0.5147606500721377,0.5461613154722755,0.5575959544700374,0.5662130219235766,0.6009676242256994,0.6017276337804235,0.6173539536962966,0.6220908015925939,0.6709323861387078,0.7755900393982907,0.7869447198186154,0.7915326254180424
468,Franklin Park,42.30319863200003,-71.09630711199998,9,C32027,C32099,C32102,C32030,E32004,C32043,D32040,C32094,B32027,C32037,E32010,E32005,C32111,B32028,E32011,D32041,C32092,D32052,C32089,B32023,0.0,0.0,0.0,0.17935727918432384,0.39568732477230717,0.3963309822973153,0.41758869720154096,0.47973836471280024,0.48524248023301225,0.5950856569676575,0.6177072257048198,0.6374747382129001,0.6472521926917152,0.6808138063718734,0.6854209190042471,0.8039392478117229,0.8623097274490208,0.9233858536355971,0.9399253917139281,0.9674195948973067
469,Charlesgate I,42.34957712050005,-71.09223290599994,3,B32010,B32037,B32018,B32034,B32058,D32032,B32005,B32020,C32008,B32060,C32007,B32015,B32062,D32046,C32063,A32008,Z32997,B32006,D32045,C32004,0.33523707501341915,0.35559588914508655,0.39204689649719837,0.5191139072832884,0.6009881473079881,0.6259650151572523,0.6756407543674136,0.687589922963394,0.7499786893768476,0.900610653973793,0.9063461767354623,0.9121437235501376,0.981650297728302,0.9912635180145184,1.0014438840971245,1.022987328414627,1.0562707759605958,1.080832044014236,1.130228786992495,1.1426644086023845
470,Adams Park,42.28646210750006,-71.12833513649997,2,C32046,C32047,C32059,C32048,C32079,C32089,C32105,E32010,C32085,C32106,D32052,C32086,E32014,E32001,C32094,D32040,C32087,C32050,C32092,C32044,0.01531037224521536,0.03011023765653877,0.6577011947486464,0.8534450741381351,1.2656067053139832,1.4206803580582974,1.5046417565722714,1.929303700982955,2.036803425693668,2.1438860735548455,2.3597353268901853,2.3821739987148045,2.659070898994397,2.6743884764267936,2.7241692880124604,2.753657383313885,3.014654449984035,3.0443227239160757,3.047129327295033,3.1277105963427605
471,Arnold Arboretum,42.29943108250004,-71.12336731599996,7,C32048,E32010,D32052,C32047,C32089,E32001,C32046,D32040,C32059,E32005,C32105,C32079,D32041,E32003,E32004,C32102,C32085,C32099,C32027,C32094,0.21531918864006322,0.218428073962877,0.32997571909471907,0.36781455565019827,0.3678290061072494,0.4020121287198114,0.4601805202822788,0.854870976349998,0.8921908726528579,1.0841534012642904,1.4314351549815665,1.4908457094919396,1.6375735401870701,1.7213382899909262,1.9688879787023579,2.0064754712250523,2.0653201268117294,2.102496252226074,2.152110862058278,2.264534424077306
472,Hunt Playground,42.274029461000055,-71.09703403099996,3,C32044,Z32999,C32050,C32045,C32092,C32103,C32094,C32105,C32079,E32014,C32106,C32043,C32110,C32099,C32055,C32038,E32013,C32048,C32089,C32046,0.09091514738459168,0.23856256059137962,0.30874354786996144,0.5503865956662893,1.233508672815163,1.2745893619072006,1.4509147341586957,1.4818495836023822,1.5518299236139872,1.631698946904023,1.7686220489327384,2.2347542900723374,2.383365988601841,2.390284151408033,2.4003645530375795,2.563285486825593,2.689029163374177,2.6908611781586633,2.7029706358215724,2.7538963410099897
473,Pope John Paul II Park I,42.28140742400004,-71.04667521899998,1,C32040,C23109,C32062,C32066,C32055,E32009,C32038,C32103,C32041,C32108,C32110,C32014,C32033,C32092,B32031,C32043,C32050,C32044,C32111,C32045,0.45512770748218084,0.5170060332673,1.1253702182279997,1.589410112125699,1.6942004562960482,1.8334817710096833,1.9403861424112403,2.1659653717181957,2.235330010028243,2.2995512819809325,2.470234060421925,2.9209566459137646,2.984525043754581,3.149253285413014,3.1743169061132885,3.2377088288391773,3.239581975618929,3.30875903682502,3.358072948950123,3.4842336058045387
474,Port Norfolk Park,42.28816107100005,-71.03863721399995,0,C32040,C23109,C32066,C32108,C32062,C32041,E32009,C32014,C32033,C32055,C32038,B32031,C32110,C32090,C32103,C32013,B32029,C32111,C32064,C32037,1.318284051627681,1.8884097439318526,1.8953233235095877,1.9320895823214603,2.018221778625222,2.0477234992898246,2.1746728035068705,2.4418478519771782,2.556822534283108,2.57478216927472,2.6399895505384574,2.8884208049410134,3.164219036184654,3.2120457722415385,3.474684232469565,3.4777826984222573,3.5027465934390336,3.5152140190594827,3.543673386325873,3.6400320983919907
475,Pope John Paul II Park II,42.28570117000004,-71.03910144749995,0,C32040,C23109,C32062,C32066,E32009,C32108,C32041,C32055,C32038,C32014,C32033,B32031,C32110,C32103,C32090,C32111,B32029,C32037,C32013,C32064,1.2652725437843606,1.810191373944477,2.0211841970162836,2.0224577498239102,2.315015677728985,2.332687012277271,2.345295068005646,2.6060374100144506,2.7119317026867495,2.899549332874829,2.9924957134267953,3.2505630951885105,3.2552018773848572,3.429865375368138,3.6766567331379005,3.749988623873943,3.833959738991148,3.8793319240555366,3.93607630478989,3.997435392951953
476,Neponset River Reservation I,42.25296909600005,-71.09299220999995,6,C32045,C32104,Z32999,E32013,C23109,E32014,C32040,C32044,C32050,C32103,C32106,C32062,C32066,C32055,C32092,E32009,C32038,C32079,C32094,C32110,0.09425404703431896,0.41459780814171365,0.41563094472481454,0.45287704531778145,0.4567095108149749,0.4677168047211151,0.5509350562795333,0.6049235075282581,0.8652009183562646,0.9028163154045471,1.014805836028211,1.1787696615199168,1.677867806556078,1.6979207496001998,1.770156770129608,1.9184445464299125,1.9816148749560178,2.0059833856357767,2.1330770977495597,2.365910978092076
477,West Link Park,42.322386736000055,-71.04491273949995,2,C32090,C32013,C32064,C32052,C32014,C32016,C32033,C32017,C32022,C32029,C32051,C32091,C32108,C32023,B32031,C32024,C32061,C32015,C32028,C32053,0.3104197230943322,0.48720139110685956,0.6519148431136785,0.864464963716149,1.2109844970275074,1.4096230752507606,1.4546635448325127,1.4948805826783385,1.693573383327902,1.8181962829506448,1.9492161605116065,2.1145396604654874,2.1493726964140007,2.2467953200412825,2.2754047948362963,2.3833548410621823,2.3864733709452977,2.3907284069467627,2.3952627871047008,2.4144113284376867
478,Carson Beach,42.32642110100008,-71.04115153849995,3,C32052,C32013,C32090,C32064,C32017,C32016,C32051,C32023,C32029,C32091,C32033,C32014,C32022,C32028,C32021,C32024,C32020,C32053,C32009,D32018,0.34282672498154276,0.38137147490182693,0.463161513735302,0.5194795563454869,0.6371260635217325,0.6733042436173078,0.8130614833791922,1.0972662257663375,1.1607363702810995,1.2924097030724022,1.4305635840145008,1.453681833762508,1.4639379027758082,1.62449469020442,1.6836061676823368,1.707937881958376,1.7260679490475879,1.8171863146045761,1.8790554053316484,1.9589165867678473
