SPACEID,Name,Avg. Lat,Avg. Long,num_objs,obj1_id,obj2_id,obj3_id,obj4_id,obj5_id,obj6_id,obj7_id,obj8_id,obj9_id,obj10_id,obj1_dist,obj2_dist,obj3_dist,obj4_dist,obj5_dist,obj6_dist,obj7_dist,obj8_dist,obj9_dist,obj10_dist
81,Lovells Island,42.33003024850004,-70.92771892499994,0.0,37903.0,37904.0,37902.0,37901.0,37900.0,37899.0,37898.0,37897.0,25000.0,25001.0,0.7723307538220309,0.7805742875585429,0.7919499724074069,0.8017292806656906,0.8077344761333742,0.8205115356490088,0.8344178745467802,0.8598480510764847,2.3148535910224917,2.321177394771021
82,Georges Island,42.31996587100005,-70.92833319199997,7.0,37897.0,37898.0,37900.0,37901.0,37902.0,37903.0,37904.0,37899.0,38009.0,37982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028825899208256216,2.5030625602633507,2.6066046280173336
83,Thompson Island,42.31531870900005,-71.00832116749996,10.0,37922.0,37920.0,37919.0,37918.0,37917.0,37916.0,37915.0,37921.0,37914.0,37983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Connell Fields/Hickey Courts,42.25621687450004,-71.13376719349995,10.0,51729.0,51727.0,52200.0,52199.0,52198.0,52197.0,52196.0,52195.0,52194.0,52193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Weider Park,42.27095094300006,-71.12349374599998,10.0,49783.0,49776.0,49775.0,49774.0,49773.0,49772.0,49781.0,49770.0,49769.0,49768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Monterey Hilltop I,42.27096036150007,-71.12671109999994,0.0,49800.0,49773.0,49774.0,49781.0,49782.0,49772.0,49795.0,49767.0,49783.0,49768.0,0.0922658872990837,0.12472860197992175,0.1387290218176597,0.14288187609590391,0.14539465140922336,0.14968971754560567,0.15334380756706886,0.16160405411299633,0.1640022079438551,0.1686017363994021
87,Sherrin Woods I,42.26722554850005,-71.12362809499996,0.0,49770.0,49776.0,49769.0,49779.0,49807.0,49768.0,49775.0,49789.0,49767.0,49790.0,0.05415494886150943,0.05662708395655447,0.06706485474606262,0.07226808032303941,0.08270045521895499,0.08576276225549351,0.08776155765783018,0.0927598732655299,0.09406279451381126,0.09974956890258296
88,Doyle Playground,42.26095347600005,-71.11163854649996,0.0,62592.0,62588.0,62590.0,62594.0,62593.0,73916.0,73915.0,62600.0,62595.0,62599.0,0.001184572650021718,0.007044763227552402,0.007569380685342783,0.019978193015789302,0.02918386024403314,0.03197790605752672,0.03291560978556841,0.03387533891736463,0.03431144368903291,0.035153263717231716
89,West Street,42.25690304450006,-71.11636430699997,0.0,62578.0,62646.0,62645.0,62644.0,62643.0,62574.0,62575.0,67794.0,62573.0,62641.0,0.09836154869025984,0.14767122200296168,0.1547954765137767,0.17370013078656596,0.18035609357375157,0.1835841921902726,0.1922889099099077,0.19883088469255447,0.1994228183767857,0.19953633372508434
90,Dell Rock I,42.260205844500064,-71.12206761449994,0.0,73838.0,52253.0,52255.0,52254.0,52256.0,52251.0,52259.0,52257.0,52252.0,52260.0,0.0017940929971535628,0.0020719264866877096,0.00992643447547611,0.019663964247035808,0.025133016432160794,0.025977627850294015,0.03363859507269422,0.03557372739232778,0.03720867651255774,0.047948549760859036
91,Amatucci Playground,42.248564631500045,-71.12643704199996,3.0,51590.0,51589.0,51580.0,51571.0,73889.0,51574.0,51579.0,51572.0,51575.0,51573.0,0.0,0.0,0.0,0.0015342845659312488,0.0015483994928822005,0.009455426400274792,0.010112061938258603,0.01254748644575474,0.015736227868487444,0.01886104187978392
92,Moynihan Playground,42.24406469200005,-71.12510547399995,10.0,51418.0,51415.0,51376.0,51377.0,51378.0,51379.0,51380.0,51385.0,51386.0,51387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
