,SPACEID,Name,Avg. Lat,Avg. Long,num_objs,obj1_id,obj2_id,obj3_id,obj4_id,obj5_id,obj6_id,obj7_id,obj8_id,obj9_id,obj10_id,obj1_dist,obj2_dist,obj3_dist,obj4_dist,obj5_dist,obj6_dist,obj7_dist,obj8_dist,obj9_dist,obj10_dist,Weighted Roundtrip Ratio,Daily Roundtrips
140,141,Cedar Square,42.32481831150005,-71.08954577999998,2,B32023,B32055,B32017,E32011,C32001,E32006,B32027,B32059,B32022,E32012,0.3755542026167411,0.4847873193597561,0.6995969612267292,0.803042189791158,0.8115899384738892,0.8626984087111217,0.8722525319494697,0.8851744667355552,0.9356633328389852,0.9909527932736087,0.026343322621627613,0.42495479204339853
141,142,Elm Hill Park,42.31292516950003,-71.08213526149999,0,B32022,B32028,B32029,C32027,B32027,C32037,C32030,C32102,C32111,B32023,0.5462810402944014,0.5615296081420059,0.8113250222644113,0.8614753835244379,0.8868552162605762,0.9976837494080204,1.067682488725527,1.1162353899484316,1.11656185424731,1.1847306491203002,0.0,0.0
142,143,Quincy Street Play Area,42.31472198450004,-71.07972195349998,1,B32022,B32028,B32029,B32027,C32027,C32037,B32023,C32015,C32111,C32030,0.385662940459928,0.7317444022319552,0.7771366872650242,1.0048863888521649,1.135223963240745,1.1447742309080502,1.1852361130183966,1.2028066582559085,1.2516021356246467,1.3039873958169632,0.0469651031448784,0.23809523809523797
143,144,Howes Playground,42.324285288000056,-71.07871064449995,1,C32015,B32017,B32022,B32026,C32022,B32023,B32055,C32005,D32059,B32064,0.2394750216922666,0.703143760894854,0.7277284196355621,0.9130271212058998,0.9746135268651096,1.015221500824056,1.0566268002018286,1.1431635296842886,1.2336922166631337,1.2794624432783364,0.05410806240873099,0.21217600964436376
144,145,Little Scobie Playground,42.322747562000046,-71.08072187549996,1,C32015,B32022,B32017,B32023,B32055,B32026,B32027,C32022,E32011,C32005,0.4943114086548768,0.5217519462924901,0.7956477207962874,0.8462255136059639,1.04114599223035,1.0805709458848476,1.1000162320822489,1.215453689041891,1.3156105586702291,1.3392927934715926,0.05410806240873099,0.21217600964436376
145,146,Erie/Ellington Playground,42.30133707750005,-71.08342471299994,3,C32030,C32037,C32111,B32028,C32043,C32099,C32110,C32027,B32029,C32038,0.2647387588903812,0.433263759113451,0.446126865560766,0.7314202819969999,0.7833414946733209,0.8039828311213697,1.085448721205012,1.165807494044531,1.2348614778158082,1.5362184582318592,0.24381412190706092,1.2176009644364074
146,147,Puddingstone Park,42.30522708950005,-71.08374539749997,4,C32030,C32037,B32028,C32111,C32027,B32029,C32099,C32043,C32102,B32022,0.2126322195859549,0.3550889620801742,0.3590285124940003,0.4772803312794382,0.8235110736453363,0.9882449445161708,1.09720365778893,1.1879894214799926,1.2585559572484035,1.3793950688429455,0.1973970521821242,1.4490657022302589
147,148,Bynoe Park,42.32953086850006,-71.07655408149995,2,C32015,B32026,B32017,C32005,D32059,C32022,D32061,C32006,C32061,B32064,0.3968894315181939,0.4536022471954513,0.5332959444800478,0.5725206743045541,0.6911854119479498,0.814867438223278,0.9464338868901996,0.9490560161104132,0.963871155747246,0.9749116292841806,0.03748488512696486,0.6913803496081964
148,149,Buena Vista,42.32355593750006,-71.08335593449996,0,B32022,B32023,C32015,B32017,B32055,B32027,B32026,E32011,B32064,B32059,0.5920537194365286,0.6434013265828742,0.6452899755638647,0.6588473615621102,0.8271404244304641,0.9806038387274636,0.9968158389713604,1.125597425602589,1.1995468298176246,1.22926911253934,0.0,0.0
149,150,Madison Park H.S. Athletic Fields,42.33251385950004,-71.08685217599995,6,B32064,B32017,B32002,B32059,B32026,B32055,D32059,C32001,D32061,C32005,0.0761224810223758,0.2576627532575018,0.2930974873361471,0.3137935216719222,0.3316381173178189,0.3328383635753377,0.5323717726253508,0.5622890685750666,0.5625455007223956,0.5764081889695232,0.03194259899016737,3.622664255575642
150,151,Dennis Street Park,42.32244572100007,-71.07485171649995,1,C32015,B32022,C32022,B32017,B32026,B32023,B32029,C32005,B32055,B32027,0.287141254212247,0.7724059190282795,0.805472110621558,1.074245745080194,1.2285400533809196,1.3174959425312895,1.4003303857458582,1.4103839218257646,1.4515695639870076,1.5001061501873587,0.05410806240873099,0.21217600964436376
151,152,Holborn Street Playlot,42.31535749750006,-71.08260841649994,1,B32022,B32027,B32028,B32023,C32027,B32029,C32102,E32011,C32015,C32037,0.2631630827943357,0.7758831485746464,0.8205708245153093,0.9638110035665768,0.9869616019245682,1.0120641196828744,1.148031650642924,1.2040364600193645,1.2432233210550705,1.25896351556375,0.0469651031448784,0.23809523809523797
152,153,Medal of Honor Park,42.33655968400007,-71.03233982599994,1,C32017,C32051,C32023,C32091,C32021,C32020,C32016,C32028,C32032,B32014,0.4537660831939021,0.5931526043475572,0.631011584531856,0.7368296195724304,0.8291960300584095,0.8640234233065389,1.0679738914419958,1.2152805712392518,1.253018233159654,1.454838501478912,0.0487915293880938,1.7540687160940303
153,154,Christopher Lee Playground,42.33770527300004,-71.03181776499997,1,C32017,C32023,C32051,C32091,C32021,C32020,C32016,C32028,C32032,B32014,0.4823355426669642,0.5541026701019001,0.6334581819550198,0.6759998505794474,0.7381864035643515,0.7522399437160932,1.0756254398917005,1.1522651372943131,1.164534336517863,1.372917508799057,0.0487915293880938,1.7540687160940303
154,155,Hawes Burying Ground,42.33431782550005,-71.03451797649996,1,C32017,C32051,C32023,C32091,C32016,C32021,C32020,C32052,C32028,C32029,0.3646864323363219,0.7769221390460139,0.8999999196300579,0.9209666160288984,0.963962244268284,1.168824532275388,1.2417420998762263,1.3806926874777377,1.3836881885676666,1.4733848095128923,0.0487915293880938,1.7540687160940303
155,156,Union Burying Ground,42.33410216200008,-71.03451242899996,1,C32017,C32051,C32023,C32091,C32016,C32021,C32020,C32052,C32028,C32029,0.3774219699328044,0.7749802156536085,0.9078300325513592,0.946502299484124,0.96987016902741,1.2008547226773996,1.2718803378033872,1.3762996817391164,1.4077040371663467,1.484115656448501,0.0487915293880938,1.7540687160940303
156,157,Dorchester Heights NHS,42.33287170550005,-71.04622996199998,2,C32016,C32052,C32017,C32029,C32091,C32028,C32024,C32013,C32053,C32064,0.2675649860957066,0.3923031887931419,0.5907753857704389,0.7471090726588671,1.016948649548092,1.2513614390428085,1.289314957444769,1.3796211250299262,1.4213800135051915,1.4417279100973084,0.05398349897096226,2.6799276672694368
157,158,Flaherty Park,42.34188132700004,-71.05305645249996,4,C32024,C32029,C32053,C32009,C32035,C32028,C32016,D32018,C32025,C32057,0.2318179049360634,0.3137429762519387,0.4082253843772623,0.4100806133256862,0.7637101456400435,0.7905917705448486,0.8466465975866699,0.8948626648515038,0.926254236268736,0.9413643803284264,0.03141317838671595,3.424954792043392
