id,Title,Artist,Lat,Long,Station 1,Station 1 Dist,Station 2,Station 2 Dist,Station 3,Station 3 Dist,Station 4,Station 4 Dist,Station 5,Station 5 Dist
17,Untitled (City Hall),Sophia Ainslie,42.36049318452591,-71.05760676406486,D32009,0.010884381926564273,B32008,0.1747593680617974,B32032,0.19499378785198027,D32057,0.1956048709430893,D32010,0.28701459573153215
18,Protect What You Love,"Sneha ""IMAGINE"" Shrestha",42.36424862943932,-71.03315954373655,A32050,0.3620618572383758,A32044,0.38830871134579703,A32057,0.6093779097678684,A32049,0.730864117831488,A32030,0.7468787179989178
19,Surya,"Sneha ""IMAGINE"" Shrestha",42.345023834047964,-71.06052905619565,C32035,0.200757463750988,C32025,0.23971313418218435,C32057,0.27368292233388297,C32009,0.2818246494723061,C32053,0.3006700632325572
20,Rise,Silvia López Chavez,42.36424862943932,-71.03315954373656,A32050,0.3620618572384643,A32044,0.3883087113461498,A32057,0.6093779097671619,A32049,0.7308641178318424,A32030,0.7468787179982102
21,Up and Under,Silvia López Chavez,42.345023834047964,-71.06052905619565,C32035,0.200757463750988,C32025,0.23971313418218435,C32057,0.27368292233388297,C32009,0.2818246494723061,C32053,0.3006700632325572
22,Caffe Ducali,Silvia López Chavez,42.36761172841099,-71.05797185396935,A32053,0.33867005349516155,D32021,0.5078937079683373,D32010,0.5558732722861132,A32025,0.5611891231160272,D32022,0.5674919684666132
23,JOY,Silvia López Chavez,42.33730319294508,-71.08944273099347,B32002,0.16808012861205848,B32062,0.22855494426073208,Z32997,0.2924461201786157,B32064,0.3738275547842788,B32059,0.5426668327896833
24,999 Cranes,Silvia López Chavez,42.33599758388031,-71.09058062400334,B32002,0.2156129568134972,B32064,0.3114682150023043,Z32997,0.32336647125808554,B32062,0.3559922840926811,B32059,0.3725685941405068
25,Patterned Behavior,Silvia López Chavez,42.351788089834955,-71.09275276250582,B32037,0.4681331555358122,B32010,0.49009647260513534,B32018,0.6919327870323638,D32032,0.693045891963169,B32058,0.7854424387508057
26,Rainbow Swag,Sharif Muhammad,42.30590172362457,-71.1098545846916,D32040,0.19361142567984974,D32052,0.4829693854207516,E32005,0.5593575053406508,E32001,0.577865109411748,E32010,0.6611653294129515
27,Untitled (Madison Park),"Rob ""Problak"" Gibbs, Genaro ""GoFive"" Ortega, James ""Ras Terms"" Monk, Sneha ""IMAGINE"" Shrestha",42.33204691212508,-71.08996914131734,B32059,0.20414896490206572,B32055,0.287409603794636,B32064,0.3051227123960209,C32001,0.43931725936918403,B32002,0.4940882823537381
28,Roxbury Love Story,"Rob ""Problak"" Gibbs, Genaro ""GoFive"" Ortega ",42.33393500807736,-71.08188804448588,B32026,0.13659072184848306,D32059,0.24592781460115937,C32005,0.26813705433231905,D32061,0.4101850861360596,B32064,0.4779656218690385
29,Breathe Life 2,"Rob ""Problak"" Gibbs",42.33204691212508,-71.08996914131735,B32059,0.2041489649010058,B32055,0.2874096037946382,B32064,0.3051227123970802,C32001,0.43931725936759386,B32002,0.4940882823540915
30,Breathe Life 3,"Rob ""Problak"" Gibbs",42.33858155918451,-71.0815956309934,C32056,0.018380824571026196,D32061,0.13493126167911063,C32004,0.2503198037657416,D32059,0.31990008123981184,C32063,0.3411135466237941
31,Afro Futurism / Breathe Life 1,"Rob ""Problak"" Gibbs",42.31348792040496,-71.07948085797891,B32022,0.5444559055362196,B32028,0.6313518442790674,B32029,0.6953983324022786,C32037,1.0398136087599759,B32027,1.0953769342106985
32,In Our Home,Rixy Fernandez,42.30011724517227,-71.06037463099473,C32041,0.059688515261211786,C32108,0.6405882026980876,E32009,0.9144240048450378,B32031,0.944182556470845,C32066,0.9503989270168677
33,Rita's Spotlight,Rixy,42.35330933785812,-71.13801778866463,A32001,0.05813272928710125,A32045,0.47038708411578056,D32034,0.5730167094637301,A32017,0.6277193757534106,D32035,0.7669395143622671
34,Rules of Engagement,"Ricardo ""Deme5"" Gomez",42.32848773078224,-71.08882986049885,B32055,0.1540460786006413,B32017,0.4359722237648046,B32059,0.5593046137496167,C32001,0.6023786018015113,B32064,0.6419879918123516
35,Pimentel Market Mural,"Ricardo ""Deme5"" Gomez",42.32257306990827,-71.10652776046021,E32003,0.2875259773774538,E32012,0.4163553807164228,E32006,0.5279325047422982,D32041,0.6476417969565668,E32007,0.6645825584493719
36,Where We Belong 歸屬 歸宿,Ponnapa Prakkamakul with Asian CDC's A-VOYCE youth program,42.35249950171367,-71.0606104855313,D32015,0.163190083534536,D32019,0.17072526705323499,A32042,0.337059797772399,D32014,0.3559891365650671,D32043,0.3627720126698868
37,Faces of Allston,Pete Cosmos,42.364275706935295,-71.1327236882984,A32019,0.3561710932988248,A32005,0.5140324399938416,A32040,0.5632787679779605,A32011,0.672300937907018,A32052,0.8160167146134626
38,Holy Mackerel,Percy Fortini-Wright,42.345023834047964,-71.06052905619565,C32035,0.200757463750988,C32025,0.23971313418218435,C32057,0.27368292233388297,C32009,0.2818246494723061,C32053,0.3006700632325572
39,No Strings Detached,Paul Goodnight and Larry Pierce,42.31267605809196,-71.08039450679624,B32028,0.5314020035313505,B32022,0.6012174389311287,B32029,0.707583907155146,C32037,0.9538353746855521,C32027,1.0264994427754874
40,Augment,Nick Cave,42.31642831225891,-71.06565858681472,B32031,0.9536492870268887,B32029,0.9677006752976841,C32064,1.0907475040263679,C32022,1.1318722469603602,C32033,1.1657151136562094
41,Roxbury Rhapsody,Napoleon Jones-Henderson,42.330278710662036,-71.08384125982954,B32017,0.048441688747822655,B32026,0.3563120401122614,B32055,0.5284713830762373,B32064,0.5384835227988498,C32005,0.6658987262123548
42,Together,Mz. Icar,42.33242601738714,-71.06918001750128,C32061,0.46937253531302736,C32022,0.6839707448663258,C32093,0.7532523500179132,C32006,0.7860578965631521,C32005,0.8649969285646819
43,Youth Lead the Change: Rise Up from Your Roots,Mel Mandel,42.28976879948183,-71.08352056067257,C32110,0.5342722568644137,C32043,0.6112927100055484,C32092,0.7438099479650934,C32094,0.9522554591381504,C32038,0.9681707348032604
44,Black Inventors,"Mayor's Mural Crew, Thomas Burns",42.30907628385532,-71.08060931728359,B32028,0.13259517936837803,C32037,0.5602357023174156,B32029,0.6380007572304588,C32111,0.6804248362282681,C32030,0.7352139578434453
45,Sports Heros,"Mayor's Mural Crew, Marshall Dackert",42.278621,-71.163887,C32087,0.1321227965696014,C32086,0.7138362293346959,C32085,1.214536456968118,C32059,2.3993956791341144,C32046,3.0644771875566104
46,Little Saigon / Viet Dorchester,"Mayor's Mural Crew, Jon Tran",42.30218180515609,-71.06007636754777,C32041,0.2875481032574614,C32108,0.5074719289949519,B32031,0.7548836815452723,C32033,1.0647663437144992,E32009,1.1304870932511117
47,"Nieli’Ka (Ojo de Dios, or Eye of God)","Mayor's Mural Crew, Heidi Schork, Tom Wiklund",42.312218,-71.113946,E32001,0.3721428445055036,E32005,0.5741808368621811,D32052,0.7008599165358044,D32040,0.8159459377710238,D32041,0.9491475811559031
48,Know Your History,"Mayor's Mural Crew, Heidi Schork",42.26886885758552,-71.09439967179505,C32045,0.1243055015371956,Z32999,0.28158141609577475,C32044,0.6413191298282486,C32050,0.951134753648906,C32103,1.5998617951506953
