OBJECTID,Title,Artist,Avg. Lat,Avg. Long,NUM STATIONS,Station 1,Station 1 Dist ,Station 2,Station 2 Dist ,Station 3,Station 3 Dist ,Station 4,Station 4 Dist ,Station 5,Station 5 Dist ,Station 6,Station 6 Dist ,Station 7,Station 7 Dist ,Station 8,Station 8 Dist ,Station 9,Station 9 Dist ,Station 10,Station 10 Dist 
27,Untitled (Madison Park),"Rob ""Problak"" Gibbs, Genaro ""GoFive"" Ortega, James ""Ras Terms"" Monk, Sneha ""IMAGINE"" Shrestha",42.33204691,-71.08996914,2,B32059,0.20414916699283925,B32055,0.2874093739762106,B32064,0.3051228304807644,C32001,0.4393173138308423,B32002,0.4940884691932132,B32017,0.5594514925741332,B32026,0.7279445410414094,Z32997,0.7479312748013052,B32062,0.7960395852907303,B32021,0.8051790991512094
28,Roxbury Love Story,"Rob ""Problak"" Gibbs, Genaro ""GoFive"" Ortega ",42.33393501,-71.08188804,3,B32026,0.13659076208747295,D32059,0.24592744360486768,C32005,0.2681366274637167,D32061,0.41018492368451304,B32064,0.4779659775234901,B32017,0.48288242607528337,C32056,0.4997678340455034,B32002,0.5642215907591738,C32004,0.7667687454970954,C32006,0.8228087145341536
29,Breathe Life 2,"Rob ""Problak"" Gibbs",42.33204691,-71.08996914,2,B32059,0.20414916699283925,B32055,0.2874093739762106,B32064,0.3051228304807644,C32001,0.4393173138308423,B32002,0.4940884691932132,B32017,0.5594514925741332,B32026,0.7279445410414094,Z32997,0.7479312748013052,B32062,0.7960395852907303,B32021,0.8051790991512094
30,Breathe Life 3,"Rob ""Problak"" Gibbs",42.33858156,-71.08159563,3,C32056,0.018380941375078775,D32061,0.13493138300784213,C32004,0.25031971383480595,D32059,0.31990014167251996,C32063,0.3411134998633719,C32005,0.44054896434520285,A32009,0.49646561141264495,B32002,0.5871231931387618,C32006,0.6226366643483136,B32026,0.6411642080296506
31,Afro Futurism / Breathe Life 1,"Rob ""Problak"" Gibbs",42.31348792,-71.07948086,0,B32022,0.5444558713596198,B32028,0.6313517681216031,B32029,0.6953984342725675,C32037,1.0398135662323742,B32027,1.0953767934715832,C32027,1.1278905003808013,C32111,1.145871372297174,C32030,1.2134499123599416,B32023,1.3125937542879695,B32031,1.3391277499898782
32,In Our Home,Rixy Fernandez,42.30011725,-71.06037463,1,C32041,0.059689033744043295,C32108,0.6405878073729947,E32009,0.9144245136399543,B32031,0.9441821024812542,C32066,0.950399469080073,C32113,1.077787356752767,C32033,1.2809628379895535,C32038,1.4387096669721073,B32029,1.4729515032458438,C32111,1.5103913191336429
33,Rita's Spotlight,Rixy,42.35330934,-71.13801779,1,A32001,0.05813282797561058,A32045,0.47038683094281636,D32034,0.5730169068749436,A32017,0.6277196237542649,D32035,0.7669397366615434,D32001,0.8457189646015922,A32005,0.9151403977358624,D32054,0.9509406504949023,K32004,1.0956399028847832,A32040,1.1000754177208625
34,Rules of Engagement,"Ricardo ""Deme5"" Gomez",42.32848773,-71.08882986,1,B32055,0.1540461689481898,B32017,0.43597221518335494,B32059,0.5593047096029006,C32001,0.6023786806802754,B32064,0.6419880716555706,B32026,0.7917872550585598,B32023,0.8082923578960632,B32002,0.8644193624128363,D32059,1.0737408534877328,C32005,1.091165918264086
35,Pimentel Market Mural,"Ricardo ""Deme5"" Gomez",42.32257307,-71.10652776,1,E32003,0.2875260165985972,E32012,0.4163553420621447,E32006,0.5279324661468635,D32041,0.6476417963547163,E32007,0.6645825704136274,E32011,0.9102330919510647,E32004,1.0038270618950853,K32010,1.2434692120328723,B32023,1.2647964306124755,B32063,1.2677912944456335
36,Where We Belong 歸屬 歸宿,Ponnapa Prakkamakul with Asian CDC's A-VOYCE youth program,42.3524995,-71.06061049,2,D32015,0.16319016652672233,D32019,0.1707248883008277,A32042,0.3370601899493408,D32014,0.35598905057594915,D32043,0.3627717090041311,A32010,0.4187460896987612,B32056,0.47281597662969443,D32011,0.49143167132392146,D32042,0.5979678666390557,D32048,0.6011415745384833
