OBJECTID,OS_ID,PARK_ID,Name,Avg. Lat,Avg. Long,NUM STATIONS,Station 1,Station 1 Dist ,Station 2,Station 2 Dist ,Station 3,Station 3 Dist ,Station 4,Station 4 Dist ,Station 5,Station 5 Dist ,Station 6,Station 6 Dist ,Station 7,Station 7 Dist ,Station 8,Station 8 Dist ,Station 9,Station 9 Dist ,Station 10,Station 10 Dist 
11,3001,,Boyden Park,42.33954287650005,-71.16637026649997,0,D32029,1.15818544996485,D32033,1.212458509519687,D32031,1.2249331508677594,B32035,1.3723109524782315,D32028,1.6885818489893898,D32054,1.8990211116616664,D32034,2.385540255497494,D32001,2.5536031951369162,A32045,2.7773913910071397,A32001,2.8424487437997175
12,110,110,Evergreen Cemetery,42.33839303100004,-71.16238493699996,0,D32033,0.9052424960941835,B32035,1.0203234430281143,D32029,1.1853001812165227,D32031,1.3942934768530413,D32028,1.539835875349032,D32054,1.6752416016329845,D32034,2.1532380833854186,D32001,2.4672281231360977,A32045,2.64284148062329,A32001,2.6500063543946277
13,143,143,Hardiman Playground,42.35136046800005,-71.16619070499996,1,D32031,0.09122475339928944,D32029,0.5529581384779199,D32028,1.3387131859118901,D32033,1.7181947482105155,D32001,1.7346219733833272,D32054,1.778971372931912,A32045,2.1008010583190586,B32035,2.175856530520133,D32034,2.1858686545273533,A32001,2.389373492180652
14,267,267,Rogers Park,42.34762765100004,-71.15944217249998,1,D32029,0.16389654977633256,D32031,0.6664443869383349,D32028,0.7697221066551538,D32033,1.0394785325965767,D32054,1.152732845139653,D32001,1.5024672161211274,B32035,1.5267674056104468,D32034,1.6063392624239534,A32045,1.7684831673743762,A32001,1.9303600762793325
15,128,128,Chandler Pond,42.345034207000054,-71.16574343999994,0,D32031,0.6179935951643073,D32029,0.6240328088729651,D32033,1.2744941779776218,D32028,1.3469522426292972,B32035,1.632702943180475,D32054,1.679586725945419,D32001,2.0779852323891257,D32034,2.15540904023075,A32045,2.3604981140027315,A32001,2.5174537305078895
16,210,210,Mullen Square,42.319336472500055,-71.05802175199995,0,C32064,0.3865620627532462,C32013,0.5748726061736457,C32033,1.0282133807149778,C32090,1.0444361923091086,C32022,1.0672291385456416,C32052,1.3559374524410697,B32031,1.4035704750409568,C32015,1.576362619525117,B32029,1.63735786089407,C32108,1.7672009876608648
17,89,089,Dorchester North Burying Ground,42.317206903000056,-71.06373744749996,0,C32064,0.9110595240869074,B32031,1.0453652511826752,C32022,1.067798813939786,C32013,1.0920838160791229,C32033,1.0937789294137783,B32029,1.1357163175208145,C32015,1.315952640675829,C32090,1.525477693104429,B32022,1.5428098506537713,C32108,1.6941900567926957
18,92,092,Downer Avenue Playground,42.31154402100006,-71.06173662799995,0,B32031,0.4960791924247147,C32033,0.6545529298455234,B32029,0.946091051904698,C32108,1.0697014624707828,C32064,1.1922127430880876,C32013,1.308403155847806,C32041,1.3258253339900936,C32090,1.5755143347176663,B32028,1.634882163543242,C32111,1.643376685010667
19,251,251,Quincy/Stanley Play Area,42.31108400200006,-71.06878294449996,0,B32029,0.37871711348567866,B32031,0.4689879990215304,B32028,1.0634585865325399,C32037,1.1611541233225637,C32111,1.1696531245599624,C32033,1.2282212655105782,B32022,1.354511951889635,C32041,1.4363388229127938,C32108,1.4530657443356594,C32030,1.6064532129621778
20,80,080,Deer Street Park,42.310999277000064,-71.05873330549994,0,C32033,0.40094906883421116,B32031,0.6322129365833125,C32108,0.8933819186354105,C32064,1.1275042498383756,B32029,1.1787129561563534,C32013,1.2100358654556451,C32041,1.272767112707242,C32090,1.4062001663384216,C32111,1.8238415980083358,C32014,1.8389543067026435
21,3002,,Savin Hill Beach,42.30725802400005,-71.05146770649995,0,C32033,0.421928510567456,C32108,0.4598633188810197,B32031,1.1277784303548344,C32041,1.1382064160578806,C32014,1.351220864245838,C32090,1.3838648715702788,C32013,1.4533019995077663,C32064,1.46921060196106,B32029,1.785677581395727,C32066,1.953963897212507
22,70,070,Coppens Square,42.30841677250007,-71.06437005599997,1,B32031,0.0882099663724718,B32029,0.714894105419861,C32033,0.8966537040826876,C32108,0.9861465595399184,C32041,1.0217440820048707,C32111,1.279063519237232,C32037,1.3196139320809368,B32028,1.3683366413095956,C32064,1.6015788675732454,C32013,1.7135992075181945
23,3003,,Old Harbor Park,42.319906344500026,-71.04038230249995,0,C32090,0.4269722204534074,C32013,0.8914302028255655,C32014,0.915426610443899,C32064,1.087153490258527,C32052,1.422911637451302,C32033,1.5200418413936596,C32017,1.7639211904211214,C32016,1.847094168659359,C32051,1.9658692966861866,C32108,2.135425584408066
24,191,191,McConnell Park,42.30891298350005,-71.05142915899995,1,C32033,0.27679576684063467,C32108,0.6269827306662465,B32031,1.1351404372367735,C32090,1.2131239142699985,C32013,1.26944293771454,C32041,1.2827785126110365,C32014,1.284649145343287,C32064,1.287251388328478,B32029,1.7717495896006759,C32066,2.1194876568654344
25,27,027,Boston Common,42.355043019500044,-71.06566726199995,1,D32014,0.1912131586152041,D32024,0.3622965446721504,B32056,0.37662542278833183,D32019,0.38239206228228223,D32042,0.3984215612673643,D32011,0.43590189021420306,D32007,0.5157107314922478,B32061,0.5215274544791171,D32017,0.5958387442587999,D32015,0.6611991241901481
26,47,047,Central Burying Ground,42.352889919000035,-71.06609636049996,3,D32042,0.1840628295786876,D32011,0.1943638911394279,D32019,0.28658518842932745,D32014,0.3242278760060163,D32007,0.37145043909810727,D32024,0.4679353234923127,D32048,0.4843732718985319,D32043,0.5064434556542635,B32056,0.5574616727668886,D32015,0.5800387991110332
27,246,246,Public Garden,42.35406365850005,-71.06998497349994,3,D32024,0.22114926392236825,D32007,0.22602860657700283,D32017,0.2884540839875632,D32042,0.30616838805846835,D32013,0.4237799184495348,D32011,0.4447111515929325,D32049,0.5406675563707753,D32014,0.5561882147223237,D32019,0.6293819502610226,D32048,0.7118603335791326
28,137,137,Granary Burying Ground,42.35734815300006,-71.06175088449996,3,B32056,0.07417329604825582,B32061,0.12971061605569956,D32014,0.2942279924987077,B32032,0.3188481620960338,B32008,0.38183757878580343,D32009,0.487455110608086,D32000,0.5229085015843649,D32019,0.5539450763487522,A32042,0.649433671753148,D32057,0.6524986852729402
29,237,237,Phillips Street Play Area,42.36053411550003,-71.06731313549997,1,D32000,0.1852032653724314,D32016,0.32064157004853555,D32024,0.5399303050060913,B32061,0.5416760156240432,A32025,0.6236822454402715,B32032,0.6242793329712312,B32056,0.6319586618221443,D32022,0.6413235424937672,D32014,0.6981972248696698,D32017,0.7195045922814056
30,212,212,Myrtle Street Playground,42.35919916450004,-71.06609477899994,1,D32000,0.2380878872447817,B32061,0.3989192749010709,D32016,0.455534257195521,B32056,0.4595591320597284,D32024,0.46676909996113936,D32014,0.520539686379784,B32032,0.5235723122101252,D32017,0.690646359592372,B32008,0.6981284138567148,D32009,0.7190652104796986
31,69,069,Copley Square Park,42.35001045200005,-71.07619749699998,5,D32005,0.09884945171781423,D32045,0.17090884398349412,C32003,0.21726852792601872,D32013,0.2703507801890111,D32046,0.2734858448655605,D32049,0.31547125021266853,D32007,0.5244294678812412,C32008,0.5258818270285728,C32007,0.5342194739925096,C32077,0.5856601673313502
32,58,058,Clarendon Street Playlot,42.352799163500066,-71.07658285199997,1,D32045,0.2284682032901405,D32005,0.32579353157834195,D32013,0.32769125650573505,D32046,0.4285106296102515,D32017,0.43137092258269877,D32049,0.49833989659183336,D32007,0.5108136513912913,C32003,0.5248593146475184,C32008,0.6513477421868693,D32024,0.6620854999262222
33,81,081,DeFilippo Playground,42.36653117450007,-71.05697828849998,1,A32053,0.2788716272227332,D32010,0.42000142396338486,D32006,0.5830254743986811,A32025,0.6075965510453155,D32022,0.6207230704381284,D32021,0.650619019008675,D32057,0.6628959545249593,D32009,0.6805591733849768,B32032,0.7802019614808826,B32008,0.8471494502939695
34,71,071,Copp's Hill Burying Ground,42.36735748150005,-71.05578552599997,0,A32053,0.4132403678154124,D32010,0.5055568697522539,D32006,0.5598888280381622,D32021,0.6217693256178677,A32025,0.7229539735108702,D32022,0.7330026018908248,D32057,0.7405187457070569,D32039,0.7559542262048545,D32009,0.784034208581201,B32004,0.8855231120246635
35,72,072,Copp's Hill Terrace,42.36780996600004,-71.05531743649996,0,A32053,0.47608368882514657,D32010,0.5587094162897981,D32006,0.5702955518221089,D32021,0.6075280110323,D32039,0.7026614922939276,A32025,0.7741659781824225,D32022,0.7827094697201719,D32057,0.7894820967088424,D32009,0.8409803561352933,B32004,0.911826281678699
36,123,123,Foster Street Play Area,42.36743203650005,-71.05406256899997,0,D32006,0.47468727629309965,A32053,0.5283179520395,D32010,0.5392094275253936,D32021,0.7098622574516315,D32039,0.7459661205922415,D32057,0.753846828954678,D32009,0.8296425300114453,B32004,0.8319108955141289,A32025,0.8626658385965464,D32022,0.8735859304314764
37,52,052,Charter Street Park,42.36680027950007,-71.05329171699995,0,D32006,0.38136856883982506,D32010,0.49862831754453163,A32053,0.548995935249336,D32057,0.6962378371591783,B32004,0.744406462719984,D32009,0.7900044410892458,D32021,0.8042826297275646,D32039,0.8231640221591937,A32033,0.8675365979256097,A32025,0.9123819496992288
38,231,231,Paul Revere Mall,42.36576163750007,-71.05361206949996,0,D32006,0.3080050052990271,D32010,0.3851255218614876,A32053,0.48604469452176763,D32057,0.5778912854306161,B32004,0.6461915376437699,D32009,0.6753732150396331,B32008,0.8288899282658654,B32032,0.8332459747802002,A32013,0.8533385685918642,D32021,0.871683308154065
39,240,240,Polcari Park,42.36503583250004,-71.05445404199995,1,D32010,0.28058940143810684,D32006,0.321820431360238,A32053,0.404574252885547,D32057,0.4857479507129181,D32009,0.5718735633906857,B32004,0.608143709269344,B32032,0.7270639958438725,B32008,0.727958648164017,A32013,0.7872827035396868,A32025,0.8111081943698237
40,77,077,Cutillo Park,42.36355771050006,-71.05638394049998,2,D32010,0.08695702881223875,A32053,0.2772689550792491,D32057,0.33060903020231425,D32009,0.36117769188154686,D32006,0.4549796616681279,B32032,0.5008787420118698,B32008,0.5252698249100495,B32004,0.5997038393092349,A32025,0.69026850504217,A32013,0.6935953966420101
41,2141,,City Hall Plaza,42.36050201350005,-71.05893443449995,3,B32032,0.10336235426748484,D32009,0.11669825278143367,B32008,0.20602700830857545,B32061,0.30034922178173246,D32057,0.30440732491626,D32010,0.34868753803014774,A32053,0.4718823615869857,B32056,0.4801935798448692,D32000,0.5300473370165572,A32013,0.6157645916906579
42,7008,,Norman Leventhal Park,42.35627479650003,-71.05557483799996,1,A32026,0.26666705164588966,B32008,0.3390806258830654,A32013,0.35018511102732036,A32042,0.3786704523212055,D32008,0.41311736264172993,A32010,0.4554118538078502,D32009,0.48736957368164896,D32057,0.4925989274040528,B32056,0.5039165604021367,B32032,0.5258093712389922
43,10,010,Angell Memorial Square,42.35709628150005,-71.05608246699995,1,B32008,0.23931522872891448,A32013,0.34365509881773193,A32026,0.36116353950222096,D32009,0.387552516620568,D32057,0.4064554444668868,B32032,0.4306803012982073,D32008,0.44355213717208475,B32061,0.4603951212682508,B32056,0.4623249668318924,A32042,0.462751183939719
44,2144,,Union Street Park I,42.36101105050005,-71.05719540499999,5,D32009,0.07119819355434301,D32057,0.16393926848609822,D32010,0.2204919563841428,B32008,0.23500507304644896,B32032,0.25146833442185806,B32061,0.44318380083545655,A32053,0.4505047333529146,A32013,0.5220413729885777,B32004,0.5601537031184511,B32056,0.6056148975374896
45,175,175,Langone Park,42.36865442750005,-71.05613505699995,0,D32021,0.49303371888391834,A32053,0.5091690075178432,D32039,0.6173190037235646,D32010,0.6491144175344443,D32006,0.685511866320523,A32025,0.7469522909149332,D32022,0.751055320749036,D32057,0.8862741271752383,D32009,0.9220435390776304,D32038,0.9382032877303609
46,3004,,Prince Street Park,42.36802855300007,-71.05789255349995,0,A32053,0.3845980422908357,D32021,0.4680420262870471,A32025,0.5863706233063165,D32022,0.5905484141601216,D32010,0.5987595452206852,D32039,0.723125278664618,D32006,0.7397638776628217,D32057,0.8423716627745982,D32009,0.8459603350040218,D32038,0.904726327316874
47,252,252,Rachel Revere Square,42.36355583750006,-71.05351355449997,2,D32006,0.21999554636042115,D32010,0.22603434649454876,D32057,0.34767579082588645,B32004,0.4287430384505126,D32009,0.4801801861224862,A32053,0.49834934778542367,A32013,0.6101563379502928,B32008,0.6165361384977336,B32032,0.662981241274635,D32008,0.7491266028400088
48,299,299,Tai Tung Park,42.348302499000056,-71.06152537599996,2,D32043,0.1334768990765396,C32025,0.2998435675665983,D32048,0.3361511706907761,D32015,0.38297829585148285,C32057,0.39237638711752804,D32019,0.46594878532127504,D32011,0.5038081121301797,C32035,0.5093730055904171,C32009,0.5839649089150385,D32042,0.6493262012287154
49,101,101,Leo F. McCarthy Playground,42.37944579850003,-71.06837900249994,2,A32022,0.056612143709464414,D32036,0.24271186271351813,D32060,0.3900621144518342,D32020,0.5278899988106454,A32023,0.5975730409915694,D32038,0.6304393735740605,D32037,0.6533728384864471,D32053,0.7874466890020639,D32021,1.0751356687090874,D32039,1.2640906134880117
50,3005,,City Square,42.371697128500045,-71.06188031799996,1,D32021,0.13189365929555208,D32038,0.3883307840798122,D32020,0.48858340331221106,D32039,0.6415944664022434,A32023,0.6483400436800766,D32022,0.6774426442373574,A32025,0.6973509150010466,A32053,0.8005431088754418,D32037,0.9760955710378113,A32022,0.9791357528933757
51,145,145,John Harvard Mall,42.37263334350007,-71.06256813299996,2,D32021,0.20677898243262116,D32038,0.2703384965263668,D32020,0.3701926847700086,A32023,0.55864125783621,D32039,0.6599570522958361,D32022,0.7632600965504205,A32025,0.7856611727439999,A32022,0.8614185117222192,D32037,0.8816933676046643,A32053,0.9161212047861796
52,3006,,Paul Revere Park,42.370095084500036,-71.06240072799997,1,D32021,0.2609262104364439,D32022,0.49527112539751894,A32025,0.5146023276261984,D32038,0.5443150698205768,D32020,0.6382621695738692,A32053,0.6458822902935353,A32023,0.7055218129290959,D32039,0.7687885613877519,D32010,0.9627453504543387,D32000,1.0101021434058413
53,51,051,Charlestown H.S. Athletic Fields,42.38092118150007,-71.05754797449995,1,D32037,0.2537743557471595,D32023,0.7657844296654895,D32039,0.7878836628466914,D32020,0.8288955826264494,D32038,0.8477349425323752,A32022,0.9363403452726,D32021,1.0328826230277637,D32036,1.0773094265796213,A32023,1.2143892442419828,D32060,1.280026005460555
54,274,274,Ryan Playground,42.38608888650006,-71.07126612149997,0,D32053,0.36778773958832267,D32036,0.5835254210166889,D32060,0.6871312020818375,A32022,0.8210677832853727,D32037,1.0830260328811991,D32020,1.2873910787124594,A32023,1.345180954728656,D32038,1.3875194759440288,D32021,1.8218726367808742,D32039,1.8980349234965201
55,15,015,Barry Playground,42.37935769900005,-71.05344189749997,0,D32023,0.3887050768079984,D32039,0.5921524994299788,D32037,0.5979619906790183,D32038,0.9900761642515696,D32021,1.00705785554275,D32020,1.0097894276972768,A32033,1.222608789431914,A32036,1.2237839157042247,A32022,1.2497154463855629,A32041,1.2518492826128818
56,87,087,Doherty Playground,42.38235938450006,-71.06754656849998,0,D32036,0.3037941278436738,A32022,0.387032280614363,D32060,0.5207422673725992,D32037,0.6142271188296519,D32053,0.6678068011350102,D32020,0.7885592838389958,D32038,0.8854233028725731,A32023,0.9269961315663581,D32021,1.3116034149447473,D32039,1.3916566637592145
57,7010,,St Francis De Sales Cemetery,42.38161693450007,-71.06570777899998,0,A32022,0.37919170839542676,D32036,0.41398186128759157,D32037,0.4442084523905373,D32060,0.629026156876325,D32020,0.6741440894539283,D32038,0.7642391386972459,D32053,0.83883734402693,A32023,0.8805088111285857,D32021,1.1732361926377843,D32039,1.2238935052908166
58,5000,,Bunker Hill Monument,42.37631527350004,-71.06078793849997,1,D32038,0.29741159389540556,D32020,0.32442093581798204,D32037,0.45740241877947774,D32021,0.49790556282528464,D32039,0.5490632111969168,A32022,0.7080469362416205,A32023,0.7247616479920317,D32036,0.9546779975898028,D32023,1.0023677130961859,D32060,1.0912523585631118
59,238,238,Phipps Street Burying Ground,42.376262739000055,-71.06765486499998,2,D32020,0.26142566701975284,A32023,0.2676697795487236,A32022,0.3102427339919279,D32038,0.3501776150802215,D32036,0.5660720277936766,D32060,0.6112838069871872,D32037,0.7456013325253735,D32021,0.7799008821035585,D32039,1.0841052564226332,D32053,1.0992812871384687
60,326,326,Winthrop Square,42.374347930000056,-71.06014700249997,1,D32021,0.277950249103097,D32038,0.30941797710572533,D32020,0.3929798037864053,D32039,0.4401097216552013,D32037,0.6763855253255417,A32023,0.7346630303937343,A32022,0.8651698857516443,D32022,1.0027721489769155,A32025,1.0215167270087142,D32023,1.024881676761855
61,148,148,Hayes Square,42.37684996200005,-71.05680850649995,0,D32039,0.34451551585036555,D32037,0.503403104925321,D32038,0.6187609604053427,D32021,0.6253263836018722,D32020,0.6571375635655442,D32023,0.6698288864000184,A32022,0.9997075694192934,A32023,1.0546025670237242,D32036,1.2221562054864523,A32033,1.24028833433522
62,2006,,Charlestown Sprouts Garden,42.38188956850007,-71.05825412899998,1,D32037,0.24955932691763258,D32023,0.8635296137713091,D32020,0.8726268467519869,D32038,0.9043142283335794,D32039,0.9079353838716806,A32022,0.9124083073203886,D32036,1.0255568885756294,D32021,1.1279803423525097,D32060,1.2352637575828471,A32023,1.242035418672285
63,98,098,East Boston Memorial Park I,42.37177714000006,-71.02963541099996,0,A32032,0.36506692727539164,A32049,0.5078785845842518,A32044,0.5432240018341294,A32031,0.8443777211621486,A32051,0.8496604741954863,A32050,0.8536617024137524,A32041,0.8860525817743922,A32030,0.8967358290114381,A32036,0.9530828066811338,A32057,1.1093955194490752
64,216,216,Noyes Playground,42.38778300300004,-71.01026262199994,1,A32039,0.2858740564232882,A32035,0.360551863407028,A32028,0.6791552308189193,A32051,1.7201333627462927,A32032,2.3961562105060965,A32041,2.74782651300665,A32049,2.8287839860132005,A32044,2.9282723555737658,A32036,3.000022319799423,A32050,3.038501633892384
65,7011,,Temple Ohabei Shalom Cemetery,42.382425455500055,-71.01493432199996,1,A32028,0.16072285224355473,A32039,0.471421120869246,A32035,0.8738330584404106,A32051,1.1099122659159464,A32032,1.7348999861152483,A32041,2.1423313315011705,A32049,2.1505560498633027,A32044,2.227912339327486,A32050,2.330940626062298,A32036,2.3749453783352865
66,74,074,Cuneo Park,42.38369560400005,-71.01675952899998,1,A32028,0.05020541916055474,A32039,0.5324984520322659,A32035,0.9424915714482733,A32051,1.0274427169082865,A32032,1.6946018312483728,A32041,2.0616090819761705,A32049,2.127758837906036,A32044,2.2383173503761165,A32036,2.307063125110449,A32050,2.3889326911843467
67,22,022,Bennington Street Cemetery,42.38096238250003,-71.02100471149998,0,A32028,0.48852970673219515,A32051,0.5842485505822111,A32039,0.9767037263945121,A32032,1.23196791706116,A32035,1.3873383900391967,A32041,1.6177381699958335,A32049,1.6651792657458566,A32044,1.7867128765528337,A32036,1.8546087970356986,A32050,1.9772124880761175
68,9,009,American Legion Playground,42.38196225000007,-71.02945586349995,0,A32051,0.32850213588176347,A32032,0.9141595827650144,A32041,1.079593772497773,A32028,1.1062356875570498,A32036,1.3529058053927954,A32049,1.3616625391716528,A32039,1.5920522170506723,A32031,1.6063136425073619,A32044,1.6120712697274011,D32023,1.653324720170317
69,245,245,Prescott Square,42.38113743450003,-71.03088494449997,0,A32051,0.3305561625490598,A32032,0.79619272769505,A32041,0.9309036674284268,A32036,1.205132816989379,A32049,1.2352345336149764,A32028,1.238995013493219,A32031,1.468389195977398,A32044,1.50195456821551,D32023,1.5180681703550325,A32030,1.5495997825135115
70,249,249,Putnam Square,42.380332453500074,-71.03296660799998,0,A32051,0.4461603098486069,A32032,0.6918180420652559,A32041,0.7460373881221429,A32036,1.0237525744754092,A32049,1.104840628237228,A32031,1.3121505430545817,D32023,1.3329875822540387,A32030,1.3940144950294444,A32044,1.3990159462517515,A32033,1.4108761294133256
71,226,226,Paris Street Playground,42.37224943250004,-71.03703687249998,1,A32049,0.22086975569021003,A32036,0.3486692087155231,A32031,0.36018771213610323,A32041,0.3970444485997166,A32032,0.40802405166709826,A32030,0.4405396828210916,A32044,0.585245246022286,A32033,0.6133257025449043,A32057,0.7778348539837127,A32051,1.095303588957668
72,33,033,Brophy Park,42.36570099350007,-71.03356372899998,1,A32044,0.22725121337027707,A32050,0.4323845979952587,A32057,0.5550125928384964,A32049,0.5667074042200365,A32030,0.619634674784335,A32031,0.6442436278370505,A32032,0.9359859645864849,A32033,1.0399708670605257,A32036,1.0449867614552475,A32041,1.1776824011645528
73,296,296,Sumner & Lamson Street Playground,42.36595821550006,-71.03244333599994,1,A32044,0.2119550786350258,A32050,0.3652509735979698,A32049,0.5746940318759434,A32057,0.6480419654824966,A32030,0.6839709233510984,A32031,0.6994609659748061,A32032,0.9054659937853476,A32036,1.0799889553851694,A32033,1.104800972911806,A32041,1.1915769476486098
74,1001,,Condor Street Beach I,42.383108395500045,-71.02973534899996,0,A32051,0.4545604124567148,A32032,1.0305781601190962,A32028,1.116398361820103,A32041,1.1530747671639727,A32036,1.4310467226958965,A32049,1.4729657260041737,A32039,1.5907329722157968,D32023,1.6669932758812882,A32031,1.70605287477005,A32044,1.7328995942988987
75,97,097,East Boston Greenway,42.369364187500025,-71.03694722699996,3,A32049,0.17535094043200444,A32031,0.20547611307486696,A32030,0.24024546127588295,A32044,0.34615522745137706,A32057,0.4938913452280744,A32036,0.5521385281776872,A32033,0.616831700645375,A32032,0.6294975686116164,A32041,0.7006092239629975,A32050,0.8907416274292571
76,298,298,Symphony Community Park,42.34475255700005,-71.08762613299996,1,B32005,0.19139002283035597,B32018,0.30282270824093477,C32063,0.5151388470044805,C32007,0.6068370285520419,C32008,0.6246242512664408,C32004,0.6590517239946911,B32062,0.660799462215417,B32034,0.799288213245432,Z32997,0.8080367454696379,C32056,0.8556916773236711
77,99,099,Edgerly Road Playground,42.34627961850006,-71.08795845399996,1,B32018,0.158187638772316,B32005,0.3394689119950996,C32008,0.5391922583758598,C32007,0.6021681377417105,C32063,0.66489745212924,D32046,0.7903333519038453,B32034,0.792742179270232,B32010,0.7929610490401892,C32004,0.7991268161469095,B32062,0.8138334821534705
78,63,063,Commonwealth Avenue Mall II,42.34900156300006,-71.09391703849997,2,B32010,0.2568741330425795,B32037,0.2785710254561184,B32058,0.5469634152773978,D32032,0.5514084335137367,B32034,0.5589610172746251,B32018,0.6138676987837822,B32020,0.6660673739173287,B32060,0.8265755668061535,B32005,0.892200963812775,B32015,0.9117114104895211
79,7015,,Stony Brook Sewer Easement,42.34111655150005,-71.09159709999997,1,B32062,0.23073493200854955,Z32997,0.30365535859932563,B32021,0.5496863721619973,B32005,0.5536485539787178,B32034,0.6139191212862383,B32002,0.6176305937747509,C32063,0.6785286446143226,B32006,0.7517345480011243,B32033,0.7826493096322854,B32018,0.8033744703044463
80,3007,,Gallops Island,42.326805697000054,-70.93796322199998,0,C32023,7.150244616427511,C32051,7.206873911670124,C32020,7.738388943587046,C32021,7.972620059258126,C32014,8.282410662816423,C32017,8.36753315318997,C32032,8.548293020646579,A32050,8.553677531937318,C32091,8.561877759865752,A32035,8.711666256744667
81,3008,,Lovells Island,42.33003024850004,-70.92771892499994,0,C32023,7.945738486133004,C32051,8.02243201189979,C32020,8.47985964121397,C32021,8.71784430282544,A32035,9.024101211528828,A32050,9.14691056268189,C32017,9.174513153429182,A32039,9.178605583718848,C32014,9.182382948119965,C32032,9.278248860986585
82,3009,,Georges Island,42.31996587100005,-70.92833319199997,0,C32023,8.07400985880811,C32051,8.102307604547097,C32020,8.718026330888986,C32021,8.947910892058188,C32014,8.95779837355614,C32017,9.269783278885106,C32091,9.506906538690693,C32032,9.535300130293676,A32050,9.62043586031261,C32090,9.648552891830752
83,7016,,Thompson Island,42.31531870900005,-71.00832116749996,0,C32014,2.3478459351240057,C32051,2.4316083746339383,C32023,2.669007841602601,C32090,3.0793661799099774,C32017,3.3830816117541476,C32013,3.576941649222101,C32020,3.6817181654429176,C32064,3.77124492726531,C32033,3.794061379992013,C32021,3.795649071737309
