OBJECTID,Title,Artist,Avg. Lat,Avg. Long,NUM STATIONS,Station 1,Station 1 Dist ,Station 2,Station 2 Dist ,Station 3,Station 3 Dist ,Station 4,Station 4 Dist ,Station 5,Station 5 Dist ,Station 6,Station 6 Dist ,Station 7,Station 7 Dist ,Station 8,Station 8 Dist ,Station 9,Station 9 Dist ,Station 10,Station 10 Dist 
46,Little Saigon / Viet Dorchester,"Mayor's Mural Crew, Jon Tran",42.30218181,-71.06007637,10,PHO 2000,0.008953376144704137,D'BENNY'S SUBS,0.021130888449759192,Thai Oishi,0.03525179616894541,Saigon Chicken House,0.07823452445016321,In/Out Mama's Kitchen,0.11210359159599062,Home Stead,0.11413472297723219,IRIE JAMAICAN STYLE RESTAURANT,0.11668842001767755,Dot Cafe,0.1327841241000564,Gong Cha,0.1620532223343036,Pho Hoa restaurant/Drink Lab,0.22270420069077526
47,"Nieli’Ka (Ojo de Dios, or Eye of God)","Mayor's Mural Crew, Heidi Schork, Tom Wiklund",42.312218,-71.113946,10,PURPLE CACTUS,0.008717164230308,SAME OLD PLACE INC.,0.043797092704250425,Tonino,0.04870882491631872,Chilacates,0.05919610970127061,Sweet Rice,0.06773300691957149,Galway House,0.07464345011169637,J.P. LICKS INC.,0.08193946947820001,Flavor Boom,0.0950454096712933,Noodle Barn,0.10527706670804131,Casa Verde,0.1107158504426144
48,Know Your History,"Mayor's Mural Crew, Heidi Schork",42.26886886,-71.09439967,10,Dunkin Donuts,0.0390489263532049,Mattapan House of Pizza,0.05123958752549113,Kwench Juice Cafe,0.08224057267673353,Jamaica's Best Restaurant ,0.0864616152306084,Brother Deli Restaurant,0.1091721364932938,Vegas Restaurant,0.12889650917879691,Mello Vibez Restaurant,0.13360172776540666,MACUMBA LATINA,0.1341723970913687,Burger King,0.1357487252236447,Kuizinn Lakay Plus,0.16736015451772315
49,"Melnea Cass, Frieda Garcia, Judy Norsigian and Kip Tiernan",Mayor's Mural Crew and Heidi Schork,42.33299559,-71.07872722,2,Residence Inn,0.1982795067669947,NEW CHINA RESTAURANT,0.26811018863264063,Pizzatalia,0.30419672971325123,Pizza Stop,0.3177896449241617,Gifu,0.34096624003954884,Dahlak Restaurant,0.39291097233687533,Khadija's  Express Cafe,0.39291097233687533,Yawkey Cafe,0.42152658032279866,DUNKIN DONUTS',0.4254545672506063,Blunch,0.42691990770077565
50,Nature Walk / Flora and Fauna,Mayor's Mural Crew and Heidi Schork,42.28673275,-71.10796693,3,Frosty Freeze,0.11258643513568319,WENDY'S PROPERTIES,0.11258643513568319,Kentucky Fried Chicken,0.27253904002417234,Popeyes,0.5051046861866247,DUNKIN',0.5119949932817989,Mcdonalds,0.6084181548407249,Perla Del Sur Quintanilla,0.902543779469696,Mangu Dominican Bistro,1.016064297100631,La Lechonera Restaurant,1.1030520244259547,Nicholas Sub & Pizza Shop,1.1544478314194238
51,Frederick Douglass Square Mural,Mayor's Mural Crew and Heidi Schork,42.337186,-71.08375,9,Slade's Bar & Grill,0.013680317980238865,Subway,0.05514492811668805,Bakalao Kitchenette  Inc.,0.07807107982537893,NORTHEASTERN UNIV-716 COLUMBUS,0.1282235182384276,Northeastern University Faculty Club,0.1282235182384276,The Underground Cafe & Lounge,0.1549930914059141,ALI ROTI RESTAURANT,0.16564638827205394,Bangkok Pinto,0.17716086649249474,Fuel America,0.26285258982532295,Northeastern University Faculty Club,0.301993943845181
52,History of Fort Hill II,Mayor's Mural Crew and Gregg Bernstein,42.32737285,-71.09654547,1,Roxbury Community College Cafe,0.22510075979815805,Anshur Restauruant,0.38473257361163715,Butterfly Coffee,0.45005674255646283,Ascia Foods,0.4714716340501228,A K's Take Out & Delivery,0.49846730564661573,Cilantro Latin Kitchen,0.5045848016452227,Nachlo,0.509738538207784,Chilacates,0.5173732534690247,Tavern of Tales,0.5173732534690247,Jamaica Mi Hungry,0.5190756055245278
53,"For Giving, For Getting",Matthew Zaremba,42.34502383,-71.06052906,10,AC Hotel by Marriot,0.11793528585318265,Capital One Cafe,0.1903486235946167,PLNT Burger,0.1903486235946167,WHOLE FOODS MARKET,0.1903486235946167,Bar Mezzana,0.22940040797220038,Fuji at Ink Block,0.2325655555992199,Yellow Door Taqueria,0.2325655555992199,Sweetgreen,0.23297392105899614,Cuppa Coffee,0.2344675028574048,Baleia,0.23529102193094503
54,Hard in the Paint,Maria Molteni,42.29225207,-71.08020438,1,Fresh Food Generation,0.09480541094457812,CARVER DEN,0.3455088548433404,Yo Momma,0.4662719863672147,Stalex Pizza,0.5335586384652734,ONLY ONE JAMAICAN RESTAURANT,0.5806417841754532,SUN PIZZA.,0.6809303560328132,Taste of Eden,0.6949927216088387,Essential Herb & Juice Cafe,0.6970926573683905,BILLY'S TEXAS B.B.Q.,0.7125006554295238,China Station Restaurant,0.7125006554295238
55,Boston Strong,Marcelo Ment,42.29151678,-71.06257495,4,Via Cannuccia,0.06359768734910899,CHARLIE'S HOUSE OF PIZZA,0.09157065020072662,DIMITRIOS HOUSE OF PIZZA,0.1453700007430212,El Barrio Mexican Grill,0.1999608509505278,Shaking Seafood,0.4422134572368236,FLAMES RESTAURANT,0.6076386886233189,Dunkin Donuts,0.6260619331396725,The Mix,0.6282767740173368,Subway,0.644508254306152,My Sister's Sandwich Cafe,0.7166235214659056
