id,Title,Artist,Lat,Long,Station 1,Station 1 Dist,Station 2,Station 2 Dist,Station 3,Station 3 Dist,Station 4,Station 4 Dist,Station 5,Station 5 Dist
41,Roxbury Rhapsody,Napoleon Jones-Henderson,42.33027871,-71.08384126,B32017,0.04844161468846021,B32026,0.356312106894611,B32055,0.5284713566335739,B32064,0.5384835740916977,C32005,0.665898793696569
42,Together,Mz. Icar,42.33242602,-71.06918002,C32061,0.4693722538352529,C32022,0.683971086086224,C32093,0.7532520475042599,C32006,0.7860575418932613,C32005,0.8649966355008355
43,Youth Lead the Change: Rise Up from Your Roots,Mel Mandel,42.2897688,-71.08352056,C32110,0.5342721796443596,C32043,0.6112926865188556,C32092,0.7438100261750443,C32094,0.9522555203329075,C32038,0.9681706757205759
44,Black Inventors,"Mayor's Mural Crew, Thomas Burns",42.30907628,-71.08060932,B32028,0.13259471323227925,C32037,0.5602353254695919,B32029,0.6380010173387622,C32111,0.680424491607978,C32030,0.7352134760499937
45,Sports Heros,"Mayor's Mural Crew, Marshall Dackert",42.278621,-71.163887,C32087,0.1321227965696014,C32086,0.7138362293346959,C32085,1.214536456968118,C32059,2.3993956791344684,C32046,3.0644771875562578
46,Little Saigon / Viet Dorchester,"Mayor's Mural Crew, Jon Tran",42.30218181,-71.06007637,C32041,0.2875485973566994,C32108,0.5074719443367707,B32031,0.7548831211402033,C32113,0.8484215736042101,C32033,1.0647659678825798
47,"Nieli’Ka (Ojo de Dios, or Eye of God)","Mayor's Mural Crew, Heidi Schork, Tom Wiklund",42.312218,-71.113946,E32001,0.37214284450656543,E32005,0.5741808368614738,D32052,0.7008599165343884,D32040,0.8159459377713782,D32041,0.9491475811559027
48,Know Your History,"Mayor's Mural Crew, Heidi Schork",42.26886886,-71.09439967,C32045,0.1243056586852764,Z32999,0.2815814305023992,C32044,0.6413188497980047,C32050,0.9511344720209084,C32103,1.5998615034269703
49,"Melnea Cass, Frieda Garcia, Judy Norsigian and Kip Tiernan",Mayor's Mural Crew and Heidi Schork,42.33299559,-71.07872722,B32026,0.2045995552636074,C32005,0.23504304008919405,D32059,0.3447447556467738,B32017,0.5495413998454434,D32061,0.6002431495723558
50,Nature Walk / Flora and Fauna,Mayor's Mural Crew and Heidi Schork,42.28673275,-71.10796693,C32105,0.1795156794341848,C32094,1.0952568747998612,C32079,1.1464301244338826,C32089,1.2309612323937469,C32048,1.2746119239688396
51,Frederick Douglass Square Mural,Mayor's Mural Crew and Heidi Schork,42.337186,-71.08375,D32061,0.1087792720108479,C32056,0.21899028341373264,D32059,0.31498232454203706,B32002,0.36440045751838046,C32004,0.44171603549326294
52,History of Fort Hill II,Mayor's Mural Crew and Gregg Bernstein,42.32737285,-71.09654547,C32001,0.4382371579742863,E32012,0.5705455476721291,B32055,0.5753958548919557,E32006,0.5755690317013924,B32059,0.707703390844194
53,"For Giving, For Getting",Matthew Zaremba,42.34502383,-71.06052906,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456
54,Hard in the Paint,Maria Molteni,42.29225207,-71.08020438,C32110,0.184101558434178,C32043,0.6256833090865649,C32038,0.724690764913199,C32055,0.9260696976353039,C32099,1.0884613978321664
55,Boston Strong,Marcelo Ment,42.29151678,-71.06257495,C32066,0.02235368000606246,E32009,0.3045581914355307,C32062,0.6594807766217521,C32038,0.7725783202145242,C32055,0.8418458104761863
56,Mystery Map,Liz LaManche,42.37937709,-71.0297468,A32051,0.1661007613402795,A32032,0.6359960748352157,A32041,0.8914433589010834,A32049,1.0893465597416931,A32036,1.147143785957883
57,Play and Yay!,"Lisa Jeanne Graf, Bea Graf",42.31575228,-71.08811437,B32027,0.3407165798109965,B32022,0.5244461348233961,B32023,0.6827634833844655,C32027,0.7433647805781095,C32102,0.7600240813359672
58,Untitled (Tobin School),Lena McCarthy,42.33310247,-71.0983383,B32063,0.24061206395742812,C32001,0.33698220776564425,B32033,0.3893730328389139,B32013,0.50260666520369,B32059,0.5075390104465202
59,Greetings from Columbia Point,Laura DeDonato Wiatt,42.31801891,-71.0431871,C32090,0.20285073117435673,C32013,0.7075627727683383,C32014,0.8512018817739669,C32064,0.8943933695617637,C32033,1.2079515235638572
60,"Puzzle Me, Allston-Brighton!",Kit Collins,42.36272923,-71.1307709,A32019,0.27470943014537824,A32040,0.32961301468528637,A32011,0.5201312357406943,A32005,0.5907421836821427,A32052,0.7989018841252585
61,The Hidden Dragon,Kenji Chai,42.33204691,-71.08996914,B32059,0.20414916699283925,B32055,0.2874093739762106,B32064,0.3051228304807644,C32001,0.4393173138308423,B32002,0.4940884691932132
62,Faces of Codman Square,K Jameel Parker,42.29122037,-71.07210351,C32038,0.10157611686381836,C32055,0.4364287442769119,C32110,0.4973534665610161,E32009,0.5568404572514487,C32066,0.7881022292360417
63,A Message to the Future,"Julia Csekö, in collaboration with Eddie Maisonet ",42.30590172,-71.10985458,D32040,0.1936112128376526,D32052,0.48296978538338275,E32005,0.5593577359860262,E32001,0.5778656611061656,E32010,0.6611652046620068
64,The Calling,"Julia ""Julz"" Roth and Cedric ""Vise 1"" Douglas",42.36424863,-71.03315954,A32050,0.36206155215206554,A32044,0.38830866219308163,A32057,0.6093781906878046,A32049,0.7308641420756596,A32030,0.7468789001140748
65,Fight the Rise,Josie Morway,42.36395478,-71.03234707,A32050,0.2954114146912137,A32044,0.4287918527626656,A32057,0.6826471893037701,A32049,0.7825266370067266,A32030,0.8183373495434353
66,Allumination,Jessie Unterhalter and Katey Truhn,42.36430359,-71.13338494,A32019,0.41039659459191136,A32005,0.4731452101952693,A32040,0.600583770503858,A32011,0.7268273069842521,A32052,0.8618434196919947
67,Untitled,"Jeremy “Sobek” Harrison, EYEVAN",42.30030547,-71.06022733,C32041,0.08381905763315653,C32108,0.6181966310683613,B32031,0.9304013814712007,E32009,0.9385992622968508,C32066,0.9732709168164912
68,Turmoil,Jeremy “Sobek” Harrison,42.33201765,-71.0824795,B32026,0.13798294398958227,B32017,0.2672173974500618,C32005,0.44453525977085684,D32059,0.4590722524816246,B32064,0.49233221461687493
69,Untitled,Iker Muro,42.34502383,-71.06052906,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456
70,Married in Boston,"Heidi Schork, Michael Evans",42.36049318,-71.05760676,D32009,0.010883781171327675,B32008,0.1747588688612071,B32032,0.19499390630551072,D32057,0.1956045983196421,A32058,0.2110499764593749
71,Snow Day,"Heidi Schork, Mayor's Mural Crew",42.36049318,-71.05760676,D32009,0.010883781171327675,B32008,0.1747588688612071,B32032,0.19499390630551072,D32057,0.1956045983196421,A32058,0.2110499764593749
72,Bird and Butterfly 1,"Heidi Schork, Mayor's Mural Crew",42.29217911,-71.06530213,E32009,0.08990199982964522,C32066,0.23098925208416535,C32038,0.5742486920905735,C32055,0.7182856225983256,C32062,0.7266752017900762
73,Bird and Butterfly 2,"Heidi Schork, Mayor's Mural Crew",42.29217911,-71.06530213,E32009,0.08990199982964522,C32066,0.23098925208416535,C32038,0.5742486920905735,C32055,0.7182856225983256,C32062,0.7266752017900762
74,Arnold Arboretum Tunnel Flowers,"Heidi Schork, Mayor's Mural Crew",42.29606082,-71.12023192,C32089,0.34799894474826426,C32048,0.3853807229662419,E32010,0.7315077556020793,D32052,1.1701339221393516,C32047,1.175492456403785
75,Don't Forget to Smile - Gentle Dental,"Heidi Schork, Mayor's Mural Crew",42.31444312,-71.11385762,E32001,0.6124957443654792,E32005,0.6876615873485219,D32041,0.8305369927667735,E32003,0.8781380557470201,D32052,0.9451927485018894
76,Flowers at Lopez Florist,"Heidi Schork, Mayor's Mural Crew",42.28442216,-71.05525182,C32040,0.16775833663236042,C23109,0.6738094525463892,C32062,0.7465044328075855,C32066,1.0105306149328157,E32009,1.2806463401374255
77,Bodega Kitty,"Heidi Schork, Mayor's Mural Crew",42.29310311,-71.12150106,C32048,0.0547146215344827,C32089,0.5597346105307135,C32047,0.8454305839521671,C32046,0.9357252081623908,E32010,1.0545893990389879
