OBJECTID,OS_ID,PARK_ID,Name,Type,Acres,Avg. Lat,Avg. Long
397,1028,,Blake Estates Urban Wild I,Urban Wilds,1.20888687,42.25145857800004,-71.12459254999996
398,3086,,Railroad Avenue,Urban Wilds,1.09888797,42.25795980600003,-71.11501421349996
399,111,111,Fairview Cemetery,Cemeteries & Burying Grounds,59.06,42.24730223450007,-71.14145551349995
400,169,169,Joyce Playground,Playgrounds,1.3648205,42.34537580700004,-71.15144787449995
401,44,044,Cassidy Playground,Playgrounds,9.60773626,42.33479486300004,-71.15214592749996
402,283,283,Shubow Park I,Parks,0.57167722,42.340203653500055,-71.15200876499995
403,2191,,Shubow Park II,Parks,0.15557707,42.34009856000006,-71.15189801449998
404,7142,,St Augustine Burying Ground,Cemeteries & Burying Grounds,0.91315492,42.33434186550005,-71.04963644499995
405,48,048,Central Square,"Malls, Squares & Plazas",0.9050867,42.374902657000064,-71.03945179249996
406,271,271,Rossmore/Stedman Park,Parks,0.07356577,42.30471612600007,-71.10665292399997
407,31,031,Brewer-Burroughs Tot Lot,Parks,0.19124932,42.31169224850004,-71.11556578199995
408,2194,,The Fenway I,"Parkways, Reservations & Beaches",6.75107846,42.341014187500065,-71.09579559199994
409,345,345,Public Ground,"Malls, Squares & Plazas",0.06371687,42.349331179000046,-71.14987693049994
410,349,349,Tebroc Street Playlot,Parks,0.07342236,42.30371139700006,-71.07027379799996
411,7149,,Aquarium Harborwalk I,"Malls, Squares & Plazas",0.57319833,42.35901179600006,-71.04951044199998
412,140,140,Hanlon Square,"Malls, Squares & Plazas",0.0384283,42.33419794050005,-71.10525153499998
413,337,337,Essex Square,"Malls, Squares & Plazas",0.02510106,42.37938224900003,-71.06999335899997
414,208,208,Mt. Pleasant Play Area,Parks,0.39857232,42.32710297850005,-71.07914381499998
415,168,168,Joslin Park,"Malls, Squares & Plazas",0.30792907,42.33838184500007,-71.10871981649996
416,243,243,Portsmouth Street Playground,Playgrounds,4.26129194,42.35950336600007,-71.14545008549996
417,150,150,Heath Square,"Malls, Squares & Plazas",0.09790836,42.32631653400006,-71.10037201349996
418,336,336,Emmel Square,"Malls, Squares & Plazas",0.01828282,42.28739211800004,-71.13200697649995
419,305,305,Tremlett Square,"Malls, Squares & Plazas",0.1581,42.29541413550007,-71.06751170899997
420,2102,,Bonito Square,"Malls, Squares & Plazas",0.0621615,42.38959410050006,-70.99905936199997
421,3088,,Richardson Park,"Malls, Squares & Plazas",1.11426156,42.31961329900005,-71.06008987599998
422,265,265,Roberts Playground,Playgrounds,10.22630854,42.285632511000074,-71.07328670199996
423,3090,,Willow Pond Meadow,Parks,6.25209794,42.32456048800003,-71.11564581549996
424,221,221,Olmsted Park,Parks,42.82523011,42.32770397300007,-71.11402942699996
425,127,127,Frieda Garcia Park,Parks,0.26781767,42.34818911700003,-71.07345891449998
426,2198,,Raymond V. Mellone Park II,Parks,0.475156,42.360280689000064,-71.12780669499995
427,7193,NULL,Rena Park,Parks,2.2240593,42.360853733000056,-71.12766306599997
